WTP,TestDate,RawWaterTotalViolation,wqc_raw_total_min,wqc_raw_total_avg,wqc_raw_total_max
Langat 2,2021-06-19,Turbidity,40.0,79.88,133.0
Langat 2,2021-06-20,Turbidity,35.7,89.33,236.0
Langat 2,2021-06-21,Turbidity,47.0,102.83,189.0
Langat 2,2021-06-22,Turbidity,27.0,31.67,42.0
Langat 2,2021-06-23,Turbidity,18.0,23.67,33.0
Langat 2,2021-06-24,Turbidity,16.0,20.0,25.0
Langat 2,2021-06-25,Turbidity,19.0,27.67,38.0
Langat 2,2021-06-26,Turbidity,18.0,24.33,43.0
Langat 2,2021-06-27,Turbidity,21.0,28.83,39.0
Langat 2,2021-06-28,Turbidity,33.0,76.0,156.0
Langat 2,2021-06-29,Turbidity,43.0,108.5,208.0
Langat 2,2021-06-30,Turbidity,30.0,57.83,127.0
Langat 2,2021-07-05,Turbidity,78.0,155.0,241.0
Langat 2,2021-07-06,Turbidity,23.0,33.8,51.0
Langat 2,2021-07-07,Turbidity,32.0,60.17,166.0
Langat 2,2021-07-08,Turbidity,20.0,47.0,85.0
Langat 2,2021-07-09,Turbidity,17.0,21.67,27.0
Langat 2,2021-07-10,Turbidity,26.0,126.67,500.0
Langat 2,2021-07-11,Turbidity,58.0,82.67,150.0
Langat 2,2021-07-12,Turbidity,22.0,34.67,42.0
Langat 2,2021-07-15,Turbidity,66.0,134.0,289.0
Langat 2,2021-07-16,Turbidity,42.0,49.5,59.0
Langat 2,2021-07-17,Turbidity,40.0,141.0,397.0
Langat 2,2021-07-18,Turbidity,27.0,30.83,38.0
Langat 2,2021-07-19,Turbidity,20.6,28.77,42.0
Langat 2,2021-07-20,Turbidity,22.1,26.42,32.7
Langat 2,2021-07-21,Turbidity,14.5,21.3,49.9
Langat 2,2021-07-22,Turbidity,13.4,55.9,121.0
Langat 2,2021-07-23,Turbidity,15.0,23.0,36.0
Langat 2,2021-07-24,Turbidity,15.3,22.83,36.0
Langat 2,2021-07-25,Turbidity,12.4,16.07,21.9
Langat 2,2021-07-26,Turbidity,14.0,17.83,30.0
Langat 2,2021-07-27,Turbidity,10.4,17.15,26.0
Langat 2,2021-07-28,Turbidity,15.0,22.9,32.0
Langat 2,2021-07-29,Turbidity,15.0,30.5,49.0
Langat 2,2021-07-30,Turbidity,16.0,28.68,39.0
Langat 2,2021-07-31,Turbidity,25.0,52.8,113.0
Langat 2,2021-08-06,Turbidity,28.0,54.43,103.0
Langat 2,2021-08-07,Turbidity,71.0,123.67,200.0
Langat 2,2021-08-08,Turbidity,21.0,31.5,52.0
Langat 2,2021-08-09,Turbidity,22.0,26.33,29.0
Langat 2,2021-08-10,Turbidity,18.0,24.5,51.0
Langat 2,2021-08-11,Turbidity,30.0,38.5,55.0
Langat 2,2021-08-12,Turbidity,19.0,21.0,25.0
Langat 2,2021-08-13,Turbidity,28.0,45.67,78.0
Langat 2,2021-08-14,Turbidity,18.0,25.83,38.0
Langat 2,2021-08-15,Turbidity,14.8,18.47,25.0
Langat 2,2021-08-16,Turbidity,18.0,43.33,68.0
Langat 2,2021-08-19,Turbidity,29.0,35.0,41.0
Langat 2,2021-08-24,Turbidity,50.0,72.17,118.0
Langat 2,2021-08-26,Turbidity,39.0,49.0,63.0
Langat 2,2021-08-27,Turbidity,45.0,49.83,59.0
Langat 2,2021-08-28,Turbidity,32.0,71.33,213.0
Langat 2,2021-08-29,Turbidity,25.0,89.17,288.0
Langat 2,2021-08-30,Turbidity,26.0,59.33,101.0
Langat 2,2021-08-31,Turbidity,48.0,107.5,204.0
Langat 2,2021-09-05,Turbidity,93.0,120.83,180.0
Langat 2,2021-09-06,Turbidity,20.7,27.13,38.0
Langat 2,2021-09-07,Turbidity,53.0,61.83,68.0
Langat 2,2021-09-08,Turbidity,23.0,40.0,65.0
Langat 2,2021-09-09,Turbidity,15.0,18.5,22.0
Langat 2,2021-09-10,Turbidity,19.0,30.5,56.0
Langat 2,2021-09-12,Turbidity,17.0,23.5,29.0
Langat 2,2021-09-13,Turbidity,29.0,153.0,241.0
Langat 2,2021-09-15,Turbidity,27.0,51.33,71.0
Langat 2,2021-09-16,Turbidity,27.0,116.33,386.0
Langat 2,2021-09-20,Turbidity,74.0,126.5,224.0
Langat 2,2021-09-22,Turbidity,38.0,47.33,63.0
Langat 2,2021-09-23,Turbidity,27.0,43.0,53.0
Langat 2,2021-09-24,Turbidity,26.0,39.0,67.0
Langat 2,2021-09-25,Turbidity,20.0,30.0,53.0
Langat 2,2021-09-27,Turbidity,27.0,141.33,580.0
Langat 2,2021-09-30,Turbidity,94.0,151.33,240.0
Langat 2,2021-10-04,Turbidity,33.7,37.7,47.0
Langat 2,2021-10-05,Turbidity,49.0,89.83,181.0
Langat 2,2021-10-06,Turbidity,19.0,28.9,42.0
Langat 2,2021-10-08,Turbidity,21.0,33.83,66.0
Langat 2,2021-10-09,Turbidity,22.0,27.67,31.0
Langat 2,2021-10-10,Turbidity,20.0,24.67,30.0
Langat 2,2021-10-11,Turbidity,52.0,195.33,521.0
Langat 2,2021-10-12,Turbidity,13.0,21.33,30.0
Langat 2,2021-10-13,Turbidity,18.0,23.67,28.0
Langat 2,2021-10-14,Turbidity,10.0,17.5,21.0
Langat 2,2021-10-15,Turbidity,10.0,16.83,23.0
Langat 2,2021-10-16,Turbidity,12.0,14.33,16.0
Langat 2,2021-10-17,Turbidity,11.0,12.83,15.0
Langat 2,2021-10-18,Turbidity,10.0,12.17,14.0
Langat 2,2021-10-19,Turbidity,11.0,13.83,17.0
Langat 2,2021-10-20,Turbidity,12.0,27.33,79.0
Langat 2,2021-10-21,Turbidity,15.0,51.33,178.0
Langat 2,2021-10-23,Turbidity,36.0,38.5,42.0
Langat 2,2021-10-24,Turbidity,15.0,18.83,23.0
Langat 2,2021-10-25,Turbidity,20.0,29.5,58.0
Langat 2,2021-10-26,Turbidity,90.0,119.5,166.0
Langat 2,2021-10-27,Turbidity,106.0,145.5,256.0
Langat 2,2021-10-28,Turbidity,53.0,91.5,144.0
Langat 2,2021-10-29,Turbidity,31.0,44.67,66.0
Langat 2,2021-10-30,Turbidity,23.0,27.0,30.0
Langat 2,2021-10-31,Turbidity,18.0,149.67,412.0
Langat 2,2021-11-04,Turbidity,25.7,43.8,83.0
Langat 2,2021-11-05,Turbidity,47.0,162.02,656.0
Langat 2,2021-11-06,Turbidity,25.7,32.02,40.0
Langat 2,2021-11-07,Turbidity,59.0,86.33,109.0
Langat 2,2021-11-08,Turbidity,27.0,60.0,132.0
Langat 2,2021-11-09,Turbidity,12.0,30.5,114.0
Langat 2,2021-11-10,Turbidity,17.0,31.67,58.0
Langat 2,2021-11-11,Turbidity,63.0,164.5,405.0
Langat 2,2021-11-12,Turbidity,21.0,27.0,32.0
Langat 2,2021-11-13,Turbidity,45.0,59.67,107.0
Langat 2,2021-11-14,Turbidity,25.0,35.5,55.0
Langat 2,2021-11-15,Turbidity,16.0,20.67,37.0
Langat 2,2021-11-16,Turbidity,13.0,41.67,82.0
Langat 2,2021-11-17,Turbidity,51.0,61.67,86.0
Langat 2,2021-11-18,Turbidity,18.0,108.5,163.0
Langat 2,2021-11-19,Turbidity,24.0,36.83,53.0
Langat 2,2021-11-20,Turbidity,30.0,68.5,142.0
Langat 2,2021-11-21,Turbidity,35.0,100.5,232.0
Langat 2,2021-11-22,Turbidity,74.0,114.0,180.0
Langat 2,2021-11-23,Turbidity,86.0,240.67,430.0
Langat 2,2021-11-28,Turbidity,59.0,65.67,78.0
Langat 2,2021-11-29,Turbidity,50.0,61.33,101.0
Langat 2,2021-12-04,Turbidity,16.2,21.12,27.0
Langat 2,2021-12-06,Turbidity,18.0,20.52,22.3
Langat 2,2021-12-08,Turbidity,20.8,32.13,55.0
Langat 2,2021-12-09,Turbidity,14.0,24.0,39.0
Langat 2,2021-12-10,Turbidity,14.0,25.5,38.0
Langat 2,2021-12-11,Turbidity,30.0,38.5,58.0
Langat 2,2021-12-12,Turbidity,34.0,170.17,448.0
Langat 2,2021-12-13,Turbidity,22.0,32.83,64.0
Langat 2,2021-12-14,Turbidity,18.0,38.83,68.0
Langat 2,2021-12-15,Turbidity,21.0,39.33,62.0
Langat 2,2021-12-16,Turbidity,24.0,48.67,82.0
Langat 2,2021-12-17,Turbidity,28.0,43.33,59.0
Langat 2,2021-12-18,Turbidity,24.0,165.17,361.0
Langat 2,2021-12-26,Turbidity,70.0,81.33,93.0
Langat 2,2021-12-27,Turbidity,71.0,76.67,83.0
Langat 2,2021-12-28,Turbidity,84.0,125.83,148.0
Langat 2,2021-12-29,Turbidity,50.0,57.17,86.0
Langat 2,2021-12-30,Turbidity,38.0,53.67,70.0
Langat 2,2021-01-05,Color,5.0,7.67,16.0
Langat 2,2021-01-06,Color,6.0,11.5,24.0
Langat 2,2021-01-07,Color,4.0,4.17,5.0
Langat 2,2021-01-08,Color,3.0,4.33,6.0
Langat 2,2021-01-09,Color,4.0,7.0,10.0
Langat 2,2021-01-10,Color,7.0,8.5,12.0
Langat 2,2021-01-11,Color,5.0,6.33,8.0
Langat 2,2021-01-12,Color,3.0,5.33,7.0
Langat 2,2021-02-05,Color,6.0,9.67,20.0
Langat 2,2021-02-06,Color,6.0,7.5,13.0
Langat 2,2021-02-07,Color,4.0,4.83,5.0
Langat 2,2021-02-08,Color,4.0,4.17,5.0
Langat 2,2021-02-09,Color,4.0,5.67,10.0
Langat 2,2021-02-10,Color,6.0,6.0,6.0
Langat 2,2021-02-11,Color,5.0,5.5,6.0
Langat 2,2021-02-12,Color,3.0,5.5,6.0
Langat 2,2021-03-06,Color,5.0,7.5,18.0
Langat 2,2021-03-07,Color,5.0,7.33,12.0
Langat 2,2021-03-08,Color,3.0,3.5,4.0
Langat 2,2021-03-09,Color,4.0,5.83,8.0
Langat 2,2021-03-10,Color,5.0,5.83,7.0
Langat 2,2021-03-11,Color,5.0,8.33,13.0
Langat 2,2021-04-05,Color,9.0,10.5,12.0
Langat 2,2021-04-06,Color,7.0,11.67,17.0
Langat 2,2021-04-07,Color,4.0,6.33,10.0
Langat 2,2021-04-08,Color,3.0,4.33,5.0
Langat 2,2021-04-09,Color,3.0,3.83,4.0
Langat 2,2021-04-10,Color,5.0,6.5,9.0
Langat 2,2021-04-11,Color,4.0,5.67,7.0
Langat 2,2021-04-12,Color,6.0,6.33,7.0
