WTP,TestDate,RawWaterTotalViolation,wqc_raw_total_min,wqc_raw_total_avg,wqc_raw_total_max
Langat 2,30/1/2022,pH,7.11,7.26,7.32
Langat 2,30/1/2022,Ammonia (NH4),0.03,0.04,0.05
Langat 2,30/1/2022,Ferum/Iron (Fe),0.8,0.86,0.92
Langat 2,30/1/2022,Turbidity,22,38,65
Langat 2,30/1/2022,Manganese (Mn),0.08,0.09,0.09
Langat 2,31/1/2022,Color,8,12.17,16
Langat 2,31/1/2022,pH,7.11,7.13,7.16
Langat 2,31/1/2022,Ammonia (NH4),0.05,0.05,0.05
Langat 2,31/1/2022,Ferum/Iron (Fe),1.11,1.32,1.53
Langat 2,31/1/2022,Turbidity,76,103.17,125
Langat 2,31/1/2022,Manganese (Mn),0.14,0.2,0.25
Langat 2,1/2/2022,Color,5,6,7
Langat 2,1/2/2022,pH,7.14,7.19,7.29
Langat 2,1/2/2022,Ammonia (NH4),0.04,0.05,0.05
Langat 2,1/2/2022,Ferum/Iron (Fe),0.82,0.86,0.9
Langat 2,1/2/2022,Turbidity,30,36.5,45
Langat 2,1/2/2022,Manganese (Mn),0.08,0.09,0.1
Langat 2,2/2/2022,Color,5,6.5,8
Langat 2,2/2/2022,pH,7.17,7.22,7.3
Langat 2,2/2/2022,Ammonia (NH4),0.03,0.04,0.05
Langat 2,2/2/2022,Ferum/Iron (Fe),0.76,0.79,0.82
Langat 2,2/2/2022,Turbidity,25,29.67,36
Langat 2,2/2/2022,Manganese (Mn),0.06,0.07,0.08
Langat 2,3/2/2022,Color,5,5,5
Langat 2,3/2/2022,pH,7.21,7.23,7.25
Langat 2,3/2/2022,Ammonia (NH4),0.02,0.03,0.03
Langat 2,3/2/2022,Ferum/Iron (Fe),0.7,0.71,0.71
Langat 2,3/2/2022,Turbidity,18,20.17,22
Langat 2,3/2/2022,Manganese (Mn),0.04,0.06,0.07
Langat 2,4/2/2022,Color,6,6.83,8
Langat 2,4/2/2022,pH,7.28,7.3,7.33
Langat 2,4/2/2022,Ammonia (NH4),0.03,0.03,0.03
Langat 2,4/2/2022,Ferum/Iron (Fe),0.6,0.65,0.69
Langat 2,4/2/2022,Turbidity,20,22.83,26
Langat 2,4/2/2022,Manganese (Mn),0.05,0.06,0.06
Langat 2,5/2/2022,Color,5,6,7
Langat 2,5/2/2022,pH,7.2,7.26,7.32
Langat 2,5/2/2022,Ammonia (NH4),0.02,0.03,0.03
Langat 2,5/2/2022,Ferum/Iron (Fe),0.73,0.77,0.8
Langat 2,5/2/2022,Turbidity,18,37.67,50
Langat 2,5/2/2022,Manganese (Mn),0.04,0.08,0.12
Langat 2,6/2/2022,Color,10,12.17,15
Langat 2,6/2/2022,pH,7.18,7.22,7.27
Langat 2,6/2/2022,Ammonia (NH4),0.05,0.05,0.05
Langat 2,6/2/2022,Ferum/Iron (Fe),1.13,1.26,1.39
Langat 2,6/2/2022,Turbidity,70,84.5,109
Langat 2,6/2/2022,Manganese (Mn),0.16,0.19,0.22
Langat 2,7/2/2022,Color,8,9.33,10
Langat 2,7/2/2022,pH,7.18,7.21,7.23
Langat 2,7/2/2022,Ammonia (NH4),0.02,0.06,0.1
Langat 2,7/2/2022,Ferum/Iron (Fe),1.01,1.07,1.12
Langat 2,7/2/2022,Turbidity,65,82.67,117
Langat 2,7/2/2022,Manganese (Mn),0.14,0.15,0.15
Langat 2,8/2/2022,Color,7,8.33,12
Langat 2,8/2/2022,pH,7.03,7.18,7.27
Langat 2,8/2/2022,Ammonia (NH4),0.03,0.05,0.06
Langat 2,8/2/2022,Ferum/Iron (Fe),0.92,0.95,0.98
Langat 2,8/2/2022,Turbidity,39,46.67,54
Langat 2,8/2/2022,Manganese (Mn),0.11,0.11,0.11
Langat 2,9/2/2022,Color,5,10.83,20
Langat 2,9/2/2022,pH,7.17,7.26,7.36
Langat 2,9/2/2022,Ammonia (NH4),0.06,0.07,0.07
Langat 2,9/2/2022,Ferum/Iron (Fe),1.41,1.52,1.63
Langat 2,9/2/2022,Turbidity,28,66,141
Langat 2,9/2/2022,Manganese (Mn),0.11,0.2,0.28
Langat 2,10/2/2022,Color,5,6,8
Langat 2,10/2/2022,pH,7.21,7.3,7.33
Langat 2,10/2/2022,Ammonia (NH4),0.02,0.03,0.04
Langat 2,10/2/2022,Ferum/Iron (Fe),0.7,0.71,0.71
Langat 2,10/2/2022,Turbidity,27,32.83,43
Langat 2,10/2/2022,Manganese (Mn),0.06,0.06,0.06
Langat 2,11/2/2022,Color,7,9.5,14
Langat 2,11/2/2022,pH,7.21,7.26,7.29
Langat 2,11/2/2022,Ammonia (NH4),0.02,0.04,0.05
