,wtp,Date,Aluminium_avg,Ammonia_avg,Color_avg,Chlorine_avg,E.coli_avg,Iron_avg,Fluoride_avg,FRChlorine_avg,flow_rate_avg,Manganese_avg,Odor_avg,Taste_avg,Total_coliform_avg,Turbidity_avg,Weather_avg,pH_avg
5287,Sungai Selisek,9/17/2020,0.0,0.34,116.64,0.0,0.0,0.81,0.0,0.0,92.33,0.08,0.0,0.0,0.0,38.97,0.0,6.32
5288,Sungai Selisek,9/18/2020,0.0,0.35,139.33,0.0,0.0,0.81,0.0,0.0,90.33,0.1,0.0,0.0,0.0,39.6,0.0,6.32
5289,Sungai Selisek,9/19/2020,0.0,0.32,115.92,0.0,0.0,0.82,0.0,0.0,93.0,0.08,0.0,0.0,0.0,37.21,0.0,6.4
5290,Sungai Selisek,9/2/2020,0.0,1.66,443.42,0.0,0.0,1.27,0.0,0.0,96.08,0.4,0.0,0.0,0.0,135.11,0.0,6.41
5291,Sungai Selisek,9/20/2020,0.0,0.23,103.67,0.0,0.0,0.68,0.0,0.0,94.33,0.07,0.0,0.0,0.0,34.22,0.0,6.42
5292,Sungai Selisek,9/21/2020,0.0,0.48,715.0,0.0,0.0,1.35,0.0,0.0,91.33,0.34,0.0,0.0,0.0,219.05,0.0,6.36
5293,Sungai Selisek,9/22/2020,0.0,0.65,701.58,0.0,0.0,0.68,0.0,0.0,93.75,0.17,0.0,0.0,0.0,294.23,0.0,6.3
5294,Sungai Selisek,9/23/2020,0.0,0.96,1041.83,0.0,0.0,1.23,0.0,0.0,93.33,0.67,0.0,0.0,0.0,398.5,0.0,6.04
5295,Sungai Selisek,9/24/2020,0.0,0.41,444.83,0.0,0.0,1.02,0.0,0.0,96.42,0.27,0.0,0.0,0.0,144.58,0.0,6.2
5296,Sungai Selisek,9/25/2020,0.0,0.68,550.83,0.0,0.0,0.89,0.0,0.0,98.5,0.26,0.0,0.0,0.0,173.77,0.0,6.2
5297,Sungai Selisek,9/26/2020,0.0,0.38,241.0,0.0,0.0,0.7,0.0,0.0,103.08,0.15,0.0,0.0,0.0,70.3,0.0,6.26
5298,Sungai Selisek,9/27/2020,0.0,0.27,175.25,0.0,0.0,0.48,0.0,0.0,93.58,0.1,0.0,0.0,0.0,50.68,0.0,6.34
5299,Sungai Selisek,9/28/2020,0.0,0.05,147.5,0.0,0.0,0.65,0.0,0.0,93.33,0.07,0.0,0.0,0.0,43.77,0.0,6.37
5300,Sungai Selisek,9/29/2020,0.0,0.03,123.92,0.0,0.0,0.63,0.0,0.0,96.67,0.08,0.0,0.0,0.0,44.76,0.0,6.38
5301,Sungai Selisek,9/3/2020,0.0,0.87,258.17,0.0,0.0,1.26,0.0,0.0,90.58,0.2,0.0,0.0,0.0,74.33,0.0,6.37
5302,Sungai Selisek,9/30/2020,0.0,0.18,155.25,0.0,0.0,0.72,0.0,0.0,92.08,0.16,0.0,0.0,0.0,67.94,0.0,6.45
5303,Sungai Selisek,9/4/2020,0.0,1.26,551.33,0.0,0.0,1.62,0.0,0.0,86.58,0.32,0.0,0.0,0.0,178.94,0.0,6.31
5304,Sungai Selisek,9/5/2020,0.0,0.6,195.5,0.0,0.0,1.07,0.0,0.0,93.75,0.16,0.0,0.0,0.0,61.74,0.0,6.37
5305,Sungai Selisek,9/6/2020,0.0,0.3,90.92,0.0,0.0,0.9,0.0,0.0,93.42,0.1,0.0,0.0,0.0,30.93,0.0,6.37
5306,Sungai Selisek,9/7/2020,0.0,0.72,335.0,0.0,0.0,1.12,0.0,0.0,92.5,0.16,0.0,0.0,0.0,97.45,0.0,6.31
5307,Sungai Selisek,9/8/2020,0.0,0.7,218.0,0.0,0.0,0.87,0.0,0.0,96.0,0.21,0.0,0.0,0.0,64.63,0.0,6.3
5308,Sungai Selisek,9/9/2020,0.0,1.51,449.25,0.0,0.0,1.13,0.0,0.0,92.5,0.36,0.0,0.0,0.0,131.05,0.0,6.3
5309,Sungai Semenyih,10/1/2020,0.48,0.14,19.8,0.0,0.0,2.32,0.0,0.0,0.0,0.05,0.0,0.0,0.0,591.58,0.0,6.61
5310,Sungai Semenyih,10/10/2020,0.31,0.16,17.75,0.0,0.0,1.68,0.0,0.0,0.0,0.06,0.0,0.0,0.0,195.67,0.0,6.8
