,wtp,Date,Ammonia_avg,Color_avg,Iron_avg,Manganese_avg,Turbidity_avg,pH_avg
77,Langat 2,2022-03-19,0.32,32.33,5.22,1.36,769.33,6.91
78,Langat 2,2022-03-20,0.19,24.5,2.72,0.55,309.67,7.15
79,Langat 2,2022-03-21,0.15,18.33,1.82,0.35,219.33,7.14
80,Langat 2,2022-03-22,0.1,17.17,1.23,0.21,205.67,7.17
81,Langat 2,2022-03-23,0.09,15.33,1.23,0.17,105.83,7.23
82,Langat 2,2022-03-24,0.11,16.67,1.46,0.23,138.0,7.15
83,Langat 2,2022-03-25,0.06,13.17,1.15,0.18,65.83,7.27
84,Langat 2,2022-03-26,0.08,14.67,1.32,0.14,128.17,7.28
85,Langat 2,2022-03-27,0.17,19.17,1.97,0.2,221.5,7.14
86,Langat 2,2022-03-28,0.11,15.67,2.41,0.45,168.02,7.23
87,Langat 2,2022-03-29,0.11,13.67,1.49,0.25,118.17,7.25
88,Langat 2,2022-03-30,0.57,18.0,2.66,0.32,174.33,7.31
89,Langat 2,2022-03-31,0.19,16.17,2.25,0.38,281.5,7.27
90,Langat 2,2022-04-01,0.08,18.5,1.6,0.19,287.33,6.91
91,Langat 2,2022-04-02,0.03,6.83,0.65,0.06,22.83,7.3
92,Langat 2,2022-04-03,0.34,21.17,4.9,1.41,919.67,6.98
93,Langat 2,2022-04-04,0.22,19.17,2.49,0.54,421.83,7.24
94,Langat 2,2022-04-05,0.12,10.83,1.45,0.21,105.5,7.25
95,Langat 2,2022-04-06,0.19,19.5,2.04,0.41,276.83,7.23
96,Langat 2,2022-04-07,0.08,8.5,1.25,0.17,87.33,6.93
97,Langat 2,2022-04-08,0.19,17.33,3.23,0.37,293.83,6.85
98,Langat 2,2022-04-09,0.09,14.5,1.4,0.21,100.33,7.15
99,Langat 2,2022-04-10,0.22,22.0,4.41,0.94,294.83,7.06
100,Langat 2,2022-04-11,0.05,9.0,1.09,0.1,60.5,7.18
101,Langat 2,2022-04-12,0.16,13.83,2.07,0.29,136.67,6.95
102,Langat 2,2022-04-13,0.34,28.67,3.84,0.84,489.67,7.13
103,Langat 2,2022-04-14,0.16,15.17,2.38,0.41,210.67,7.16
104,Langat 2,2022-04-15,0.27,21.83,3.59,0.6,307.5,7.13
105,Langat 2,2022-04-16,0.18,13.67,1.73,0.39,214.67,7.12
106,Langat 2,2022-04-17,0.24,18.67,2.61,0.45,303.17,7.18
107,Langat 2,2022-04-18,0.13,19.67,2.24,0.35,238.17,7.25
108,Langat 2,2022-04-19,0.09,15.5,1.06,0.38,163.67,7.19
109,Langat 2,2022-04-20,0.11,15.67,1.34,0.19,252.9,7.11
110,Langat 2,2022-04-21,0.45,19.17,2.59,0.68,455.67,7.08
111,Langat 2,2022-04-22,0.41,12.5,2.12,0.45,205.17,7.12
112,Langat 2,2022-04-23,0.09,10.5,1.58,0.19,102.5,7.15
113,Langat 2,2022-04-24,0.43,20.67,5.56,5.44,559.67,7.06
114,Langat 2,2022-04-25,0.15,12.17,2.3,0.36,204.17,7.06
115,Langat 2,2022-04-26,0.15,13.0,1.7,0.34,148.83,7.1
116,Langat 2,2022-04-27,0.11,11.5,1.6,0.21,115.83,7.13
117,Langat 2,2022-04-28,0.06,9.5,1.11,0.17,74.0,7.18
118,Langat 2,2022-04-29,0.14,14.17,1.17,0.26,133.0,7.12
119,Langat 2,2022-04-30,0.17,15.67,2.98,0.5,327.0,7.17
120,Langat 2,2022-05-01,0.17,21.17,2.22,0.41,289.5,6.85
121,Langat 2,2022-05-02,0.03,6.0,0.77,0.08,37.67,7.26
122,Langat 2,2022-05-03,0.25,20.83,4.46,0.8,484.0,6.93
123,Langat 2,2022-05-04,0.33,20.83,3.7,0.89,410.33,7.21
124,Langat 2,2022-05-05,0.07,7.67,1.14,0.16,63.83,7.23
125,Langat 2,2022-05-06,0.1,12.17,1.76,0.23,171.67,7.29
126,Langat 2,2022-05-07,0.06,6.33,1.07,0.15,56.17,6.93
127,Langat 2,2022-05-08,0.49,23.33,3.89,0.69,629.83,6.81
128,Langat 2,2022-05-09,0.06,12.17,1.6,0.16,49.5,7.1
129,Langat 2,2022-05-10,0.15,16.0,1.3,0.18,203.67,6.93
130,Langat 2,2022-05-11,0.05,16.0,1.81,0.16,134.83,7.21
131,Langat 2,2022-05-12,0.09,11.5,1.04,0.2,81.67,7.02
132,Langat 2,2022-05-13,0.12,13.83,2.03,0.18,183.33,7.14
133,Langat 2,2022-05-14,0.14,9.17,1.96,0.27,132.33,7.33
134,Langat 2,2022-05-15,0.09,9.83,1.05,0.12,89.33,7.34
135,Langat 2,2022-05-16,0.35,19.17,3.68,0.7,514.0,7.19
136,Langat 2,2022-05-17,0.31,18.33,2.62,1.0,311.67,7.18
137,Langat 2,2022-05-18,0.22,13.17,2.13,0.48,148.5,7.25
138,Langat 2,2022-05-19,0.16,13.67,2.31,0.37,212.67,7.4
139,Langat 2,2022-05-20,0.19,15.0,2.38,0.48,289.0,7.17
140,Langat 2,2022-05-21,0.13,14.67,1.74,0.23,159.5,7.33
141,Langat 2,2022-05-22,0.07,9.83,1.06,0.15,66.33,7.32
142,Langat 2,2022-05-23,0.1,9.67,1.31,0.2,72.17,7.3
143,Langat 2,2022-05-24,0.39,13.17,3.03,0.62,253.5,7.41
144,Langat 2,2022-05-25,0.44,19.83,3.74,0.97,700.17,7.31
145,Langat 2,2022-05-26,0.36,19.0,3.49,0.86,806.83,7.06
146,Langat 2,2022-05-27,0.14,14.0,2.21,0.41,168.0,7.29
147,Langat 2,2022-05-28,0.08,9.33,1.17,0.21,93.83,7.35
148,Langat 2,2022-05-29,0.08,7.83,0.93,0.16,76.17,7.32
149,Langat 2,2022-05-30,0.1,12.17,1.2,0.14,86.0,7.29
150,Langat 2,2022-05-31,0.09,8.67,1.62,0.26,68.17,7.34
151,Langat 2,2022-06-01,0.12,17.0,1.41,0.2,182.67,6.89
152,Langat 2,2022-06-02,0.05,12.17,1.26,0.19,84.5,7.22
153,Langat 2,2022-06-03,0.17,17.5,2.17,0.51,270.83,6.99
154,Langat 2,2022-06-04,0.27,24.5,3.53,0.68,616.17,7.22
155,Langat 2,2022-06-05,0.05,7.33,1.12,0.13,50.83,7.18
156,Langat 2,2022-06-06,0.24,21.33,2.47,0.44,315.83,7.27
157,Langat 2,2022-06-07,0.04,6.83,0.98,0.1,52.0,6.97
158,Langat 2,2022-06-08,0.41,21.67,4.58,1.08,503.33,6.86
159,Langat 2,2022-06-09,0.12,15.67,2.31,0.27,103.33,7.18
160,Langat 2,2022-06-10,0.08,13.33,1.03,0.12,128.0,6.92
161,Langat 2,2022-06-11,0.04,9.17,1.49,0.15,68.0,7.18
162,Langat 2,2022-06-12,0.08,10.33,1.12,0.17,103.67,7.04
163,Langat 2,2022-06-13,0.09,14.33,1.72,0.23,147.5,7.22
164,Langat 2,2022-06-14,0.14,14.0,1.54,0.28,146.17,7.34
165,Langat 2,2022-06-15,0.11,12.67,1.72,0.17,119.5,7.32
166,Langat 2,2022-06-16,0.14,15.5,1.46,0.23,179.5,7.36
167,Langat 2,2022-06-17,0.15,12.67,1.47,0.28,110.5,7.39
168,Langat 2,2022-06-18,0.3,21.0,5.84,0.3,616.0,7.31
169,Langat 2,2022-06-19,0.39,22.5,3.72,1.05,643.67,7.17
170,Langat 2,2022-06-20,0.38,21.33,1.49,0.64,521.67,6.96
171,Langat 2,2022-06-21,0.19,12.5,1.09,0.52,192.33,6.84
172,Langat 2,2022-06-22,0.15,10.5,1.23,0.45,155.83,6.97
173,Langat 2,2022-06-23,0.18,11.5,1.11,0.18,145.0,7.13
174,Langat 2,2022-06-24,0.19,6.0,0.64,0.07,55.67,7.01
175,Langat 2,2022-06-25,0.07,8.33,1.15,0.14,65.5,6.96
176,Langat 2,2022-06-26,0.04,7.33,1.3,0.16,62.83,7.01
177,Langat 2,2022-06-27,0.05,6.5,1.16,0.13,46.0,6.9
178,Langat 2,2022-06-28,0.12,17.0,1.37,0.18,199.5,6.84
179,Langat 2,2022-06-29,0.08,9.5,1.18,0.23,102.17,6.87
180,Langat 2,2022-06-30,0.05,7.0,0.84,0.14,64.17,6.97
181,Langat 2,2022-07-01,0.07,7.5,1.17,0.17,78.67,7.11
182,Langat 2,2022-07-02,0.06,9.33,1.07,0.15,82.67,7.21
183,Langat 2,2022-07-03,0.13,17.33,1.57,0.28,280.67,6.91
184,Langat 2,2022-07-04,0.17,15.5,1.8,0.49,246.67,7.26
185,Langat 2,2022-07-05,0.07,7.67,1.07,0.14,56.17,7.18
186,Langat 2,2022-07-06,0.09,10.17,0.97,0.18,103.67,7.38
187,Langat 2,2022-07-07,0.04,6.17,0.85,0.13,41.33,6.87
188,Langat 2,2022-07-08,0.11,13.17,1.99,0.28,155.67,6.89
189,Langat 2,2022-07-09,0.1,17.33,1.69,0.24,141.0,7.17
190,Langat 2,2022-07-10,0.1,16.33,2.05,0.19,187.67,7.03
191,Langat 2,2022-07-11,0.18,22.67,2.53,0.42,219.83,7.24
192,Langat 2,2022-07-12,0.32,19.17,3.44,0.84,398.5,6.93
193,Langat 2,2022-07-13,0.05,5.5,0.84,0.06,27.33,7.12
194,Langat 2,2022-07-14,0.05,7.33,1.01,0.09,36.17,7.22
195,Langat 2,2022-07-15,0.05,7.17,1.18,0.1,42.67,7.23
196,Langat 2,2022-07-16,0.04,6.5,1.12,0.13,42.67,7.21
197,Langat 2,2022-07-17,0.04,6.67,1.31,0.13,38.0,7.18
198,Langat 2,2022-07-18,0.04,6.33,1.2,0.13,36.83,7.24
199,Langat 2,2022-07-19,0.04,6.5,1.3,0.14,38.33,7.15
200,Langat 2,2022-07-20,0.04,7.17,1.3,0.18,43.0,7.11
201,Langat 2,2022-07-21,0.06,9.0,1.6,0.16,80.0,7.06
202,Langat 2,2022-07-22,0.09,7.5,1.64,0.23,69.33,7.11
203,Langat 2,2022-07-23,0.07,11.5,0.75,0.21,139.33,7.03
204,Langat 2,2022-07-24,0.12,19.83,2.67,0.32,271.0,6.85
205,Langat 2,2022-07-25,0.09,10.0,1.52,0.26,94.5,6.89
206,Langat 2,2022-07-26,0.12,12.17,1.71,0.24,141.5,6.77
207,Langat 2,2022-07-27,0.14,14.33,2.09,0.36,302.83,6.82
208,Langat 2,2022-07-28,0.36,21.17,4.08,0.66,470.67,6.8
209,Langat 2,2022-07-29,0.24,16.0,3.7,0.53,223.83,6.94
210,Langat 2,2022-07-30,0.08,10.17,1.18,0.2,138.17,6.92
211,Langat 2,2022-07-31,0.05,7.5,1.14,0.18,80.33,6.94
212,Langat 2,2022-08-01,0.05,6.33,1.14,0.14,55.33,7.15
213,Langat 2,2022-08-02,0.05,8.33,0.95,0.11,46.67,7.18
214,Langat 2,2022-08-03,0.18,14.5,1.56,0.33,191.46,6.95
215,Langat 2,2022-08-04,0.17,15.0,2.29,0.42,252.67,7.29
216,Langat 2,2022-08-05,0.05,6.17,0.9,0.09,40.33,7.23
217,Langat 2,2022-08-06,0.13,14.67,1.84,0.26,168.5,7.37
218,Langat 2,2022-08-07,0.1,8.83,1.64,0.27,78.5,6.9
219,Langat 2,2022-08-08,0.06,8.83,1.02,0.09,47.5,7.0
220,Langat 2,2022-08-09,0.18,17.83,2.15,0.43,221.67,7.17
221,Langat 2,2022-08-10,0.15,17.33,2.42,0.34,223.67,7.1
222,Langat 2,2022-08-11,0.25,21.5,2.52,0.52,322.0,7.22
223,Langat 2,2022-08-12,0.3,26.0,3.21,0.91,679.5,6.73
224,Langat 2,2022-08-13,0.45,26.33,4.98,1.04,618.5,7.0
225,Langat 2,2022-08-14,0.14,16.5,1.81,0.35,256.5,7.0
226,Langat 2,2022-08-15,0.11,10.0,1.63,0.26,94.5,7.04
227,Langat 2,2022-08-16,0.13,11.33,1.96,0.28,122.17,6.98
228,Langat 2,2022-08-17,0.09,9.33,1.49,0.15,71.0,6.98
229,Langat 2,2022-08-18,0.29,17.0,2.78,0.59,712.33,6.94
230,Langat 2,2022-08-19,0.14,17.17,1.62,0.34,179.83,6.84
231,Langat 2,2022-08-20,0.12,12.33,1.95,0.19,103.0,6.92
232,Langat 2,2022-08-21,0.12,12.17,1.42,0.18,137.33,6.91
233,Langat 2,2022-08-22,0.19,15.17,2.04,0.37,197.83,6.83
234,Langat 2,2022-08-23,0.17,18.5,3.07,0.34,320.33,6.91
235,Langat 2,2022-08-24,0.13,16.83,1.58,0.21,192.5,6.98
236,Langat 2,2022-08-25,0.1,10.5,1.16,0.14,104.0,6.97
237,Langat 2,2022-08-26,0.1,7.83,1.16,0.12,69.0,7.08
238,Langat 2,2022-08-27,0.1,11.67,1.56,0.24,103.33,7.04
239,Langat 2,2022-08-28,0.09,13.0,1.76,0.21,195.33,6.98
240,Langat 2,2022-08-29,0.23,23.33,2.36,0.47,673.33,6.85
241,Langat 2,2022-08-30,0.23,22.5,2.86,0.45,379.67,6.85
242,Langat 2,2022-08-31,0.28,23.33,2.99,0.55,295.5,6.89
243,Langat 2,2022-09-01,0.12,11.5,1.37,0.17,99.17,7.12
244,Langat 2,2022-09-02,0.07,10.83,1.52,0.2,66.0,7.26
245,Langat 2,2022-09-03,0.43,23.17,6.7,1.79,723.5,7.02
246,Langat 2,2022-09-04,0.3,19.67,3.28,0.84,461.83,7.31
247,Langat 2,2022-09-05,0.18,10.67,1.48,0.25,135.5,7.27
248,Langat 2,2022-09-06,0.15,20.83,2.35,0.29,378.5,7.28
249,Langat 2,2022-09-07,0.05,8.0,1.35,0.15,68.5,7.0
250,Langat 2,2022-09-08,0.09,13.0,1.58,0.23,106.67,7.07
251,Langat 2,2022-09-09,0.11,15.0,1.77,0.3,148.67,7.22
252,Langat 2,2022-09-10,0.18,18.5,2.11,0.42,190.17,7.03
253,Langat 2,2022-09-11,0.36,23.0,3.73,0.77,380.17,7.19
254,Langat 2,2022-09-12,0.31,26.5,3.83,1.06,656.0,6.73
255,Langat 2,2022-09-13,0.06,11.33,1.31,0.13,54.67,7.28
256,Langat 2,2022-09-14,0.06,9.67,1.06,0.13,34.17,7.24
257,Langat 2,2022-09-15,0.09,9.33,1.37,0.15,44.33,7.23
258,Langat 2,2022-09-16,0.07,11.0,1.22,0.13,66.17,7.26
259,Langat 2,2022-09-17,0.08,12.33,1.77,0.21,97.17,7.27
260,Langat 2,2022-09-18,0.05,11.17,0.07,0.07,35.83,7.27
261,Langat 2,2022-09-19,0.04,10.83,1.02,0.11,44.5,7.31
262,Langat 2,2022-09-20,0.04,11.33,1.35,0.15,49.0,7.27
263,Langat 2,2022-09-21,0.06,10.0,1.09,0.08,28.17,7.27
264,Langat 2,2022-09-22,0.02,11.0,1.05,0.08,31.83,7.31
265,Langat 2,2022-09-23,0.07,19.33,1.3,0.2,92.83,7.29
266,Langat 2,2022-09-24,0.07,16.0,1.41,0.19,84.83,7.28
267,Langat 2,2022-09-25,0.08,15.17,1.49,0.18,69.83,7.35
268,Langat 2,2022-09-26,0.05,15.33,1.28,0.13,45.83,7.31
269,Langat 2,2022-09-27,0.05,14.5,1.43,0.13,44.0,7.34
270,Langat 2,2022-09-28,0.03,13.5,1.34,0.09,35.67,7.34
271,Langat 2,2022-09-29,0.08,16.5,1.76,0.21,62.5,7.32
272,Langat 2,2022-09-30,0.03,14.5,1.39,0.11,51.67,7.29
273,Langat 2,2022-10-01,0.07,7.5,1.27,0.13,56.67,7.21
274,Langat 2,2022-10-02,0.03,6.0,0.71,0.06,32.83,7.3
275,Langat 2,2022-10-03,0.76,27.33,14.26,4.12,1618.83,6.85
276,Langat 2,2022-10-04,0.37,18.17,4.02,0.74,544.17,7.28
277,Langat 2,2022-10-05,0.19,12.5,2.21,0.28,179.17,7.24
278,Langat 2,2022-10-06,0.34,17.33,3.72,0.58,268.33,7.27
279,Langat 2,2022-10-07,0.04,5.5,0.75,0.07,23.17,6.96
280,Langat 2,2022-10-08,0.06,9.5,1.29,0.14,46.5,7.01
281,Langat 2,2022-10-09,0.33,21.33,3.05,0.65,315.33,7.16
282,Langat 2,2022-10-10,0.21,25.5,3.03,0.68,338.17,6.91
283,Langat 2,2022-10-11,0.07,16.17,1.48,0.16,134.83,7.2
284,Langat 2,2022-10-12,0.4,20.83,4.96,1.05,441.33,6.79
285,Langat 2,2022-10-13,0.15,22.0,2.53,0.43,235.5,6.94
286,Langat 2,2022-10-14,0.1,16.0,2.24,0.26,173.83,6.98
287,Langat 2,2022-10-15,0.07,15.17,1.33,0.13,112.33,7.01
288,Langat 2,2022-10-16,0.05,13.33,1.48,0.14,93.0,7.06
289,Langat 2,2022-10-17,0.04,10.5,1.39,0.15,73.33,7.06
290,Langat 2,2022-10-18,0.06,9.83,1.81,0.17,58.33,7.03
291,Langat 2,2022-10-19,0.09,13.17,2.07,0.31,142.83,7.06
292,Langat 2,2022-10-20,0.29,20.33,4.16,0.66,287.33,6.97
293,Langat 2,2022-10-21,0.05,13.67,1.43,0.18,108.5,6.98
294,Langat 2,2022-10-22,0.09,11.83,1.77,0.22,127.33,7.03
295,Langat 2,2022-10-23,0.09,15.33,2.5,0.2,233.5,6.98
296,Langat 2,2022-10-24,0.11,15.67,2.79,0.47,182.17,6.94
297,Langat 2,2022-10-25,0.2,17.5,2.03,0.36,238.33,6.88
298,Langat 2,2022-10-26,0.24,25.17,4.07,0.49,337.17,6.77
299,Langat 2,2022-10-27,0.16,22.33,2.72,0.34,291.0,6.83
300,Langat 2,2022-10-28,0.18,24.83,2.46,0.27,406.0,6.79
301,Langat 2,2022-10-29,0.22,22.67,3.12,0.49,325.67,6.89
302,Langat 2,2022-10-30,0.3,23.5,3.07,0.73,474.0,6.94
303,Langat 2,2022-10-31,0.13,22.33,2.34,0.3,315.5,6.97
304,Langat 2,2022-11-01,0.05,8.0,1.3,0.12,48.87,7.19
305,Langat 2,2022-11-02,0.04,9.5,0.89,0.08,46.33,7.26
306,Langat 2,2022-11-03,2.01,19.67,4.45,1.5,791.5,6.98
307,Langat 2,2022-11-04,0.24,17.33,3.31,0.65,401.0,7.19
308,Langat 2,2022-11-05,0.08,9.83,1.49,0.18,146.0,7.25
309,Langat 2,2022-11-06,0.13,11.0,1.85,0.14,165.0,7.23
310,Langat 2,2022-11-07,0.05,7.83,1.6,0.13,36.17,6.94
311,Langat 2,2022-11-08,0.1,10.0,2.1,0.21,57.25,7.08
312,Langat 2,2022-11-09,0.15,14.17,1.64,0.28,165.33,7.2
313,Langat 2,2022-11-10,0.08,13.83,1.59,0.19,99.17,6.91
314,Langat 2,2022-11-11,0.06,15.0,1.67,0.17,105.83,7.28
315,Langat 2,2022-11-12,0.18,21.83,2.89,0.42,350.17,6.97
316,Langat 2,2022-11-13,0.09,18.83,2.46,0.23,230.17,7.23
317,Langat 2,2022-11-14,0.2,17.5,2.21,0.54,257.33,7.26
318,Langat 2,2022-11-15,0.52,34.5,3.57,1.28,977.33,7.16
319,Langat 2,2022-11-16,0.19,22.0,1.63,0.5,373.83,7.17
320,Langat 2,2022-11-17,0.11,17.83,1.67,0.36,208.17,7.23
321,Langat 2,2022-11-18,0.21,20.0,3.36,0.58,281.67,7.2
322,Langat 2,2022-11-19,0.29,18.5,3.37,0.51,294.33,7.24
323,Langat 2,2022-11-20,0.33,23.5,4.01,0.82,505.83,7.14
324,Langat 2,2022-11-21,0.47,27.5,5.34,0.95,662.0,7.04
325,Langat 2,2022-11-22,0.14,17.17,2.33,0.41,188.17,7.06
326,Langat 2,2022-11-23,0.13,11.5,2.06,0.24,119.5,7.04
327,Langat 2,2022-11-24,0.14,13.67,2.17,0.4,137.33,7.08
328,Langat 2,2022-11-25,0.11,9.67,1.77,0.24,94.67,7.15
329,Langat 2,2022-11-26,0.1,13.33,1.86,0.23,144.17,7.02
330,Langat 2,2022-11-27,0.25,18.0,3.56,0.54,264.83,7.03
331,Langat 2,2022-11-28,0.1,13.67,1.78,0.25,162.67,7.0
332,Langat 2,2022-11-29,0.33,20.5,3.68,0.67,299.5,6.99
333,Langat 2,2022-11-30,0.16,18.83,1.92,0.31,290.17,6.99
334,Langat 2,2022-12-01,0.04,6.83,1.14,0.1,40.17,7.22
335,Langat 2,2022-12-02,0.03,9.5,0.89,0.08,25.0,7.21
336,Langat 2,2022-12-03,0.21,12.5,1.94,0.46,336.83,7.03
337,Langat 2,2022-12-04,0.26,20.33,2.58,0.56,325.67,7.2
338,Langat 2,2022-12-05,1.11,24.5,4.2,0.7,632.5,7.08
339,Langat 2,2022-12-06,0.21,16.67,2.5,0.4,230.83,7.23
340,Langat 2,2022-12-07,0.04,7.0,0.94,0.13,32.83,6.99
341,Langat 2,2022-12-08,0.04,9.33,1.37,0.08,51.83,7.0
342,Langat 2,2022-12-09,0.1,11.5,1.13,0.17,75.83,7.25
343,Langat 2,2022-12-10,0.1,22.17,2.2,0.27,201.83,6.98
344,Langat 2,2022-12-11,0.22,16.0,2.33,0.43,236.67,7.2
345,Langat 2,2022-12-12,0.13,20.17,2.61,0.55,244.5,6.95
346,Langat 2,2022-12-13,0.18,17.17,2.47,0.28,218.33,7.01
347,Langat 2,2022-12-14,0.15,14.0,1.94,0.29,162.83,7.07
348,Langat 2,2022-12-15,0.18,17.33,2.57,0.41,222.0,7.01
349,Langat 2,2022-12-16,0.09,13.83,1.74,0.27,124.5,7.08
350,Langat 2,2022-12-17,0.1,12.5,1.27,0.2,97.0,7.03
351,Langat 2,2022-12-18,0.2,22.67,2.85,0.51,271.0,6.95
352,Langat 2,2022-12-19,0.23,22.83,2.65,0.55,321.67,7.02
353,Langat 2,2022-12-20,0.1,14.67,1.85,0.31,156.33,7.01
354,Langat 2,2022-12-21,0.08,9.0,1.23,0.15,90.33,7.05
355,Langat 2,2022-12-22,0.22,17.33,2.86,0.52,252.0,7.04
