,wtp,pH_avg,Date,Turbidity_avg,Color_avg,Iron_avg,Ammonia_avg,Manganese_avg,Kibbled Aluminium Sulphate,Flopam FA 920 PWG,Soda_Ash_T,Liquid Chlorine,Sodium Silico Fluoride,Month,Soda Ash,Hydrated Lime,Liquid Polyaluminium Chloride,Sodium Aluminosilicate,Liquid Aluminium Sulphate,Liquid_Chlorine_T,Hydrated_Lime_Pow_T,Flopam FO 4290 PWG,Microsand,Liquid Polyaluminium Chloride (mg/L),Raw Water Polyelectrolyte 4290 PWG / 4190 PWG / AN910 (mg/L),Sodium Silico Fluoride (mg/L)
1348,Sungai Selangor Fasa 3,5.78,2021-07-21,64.13,30.33,1.14,0.06,0.08,,,,,,7,,,,,,6.0699102510000005,8.197211156,,,20.29966783,0.058455651,0.455
1349,Sungai Selangor Fasa 3,5.69,2021-07-22,39.91,34.08,1.21,0.06,0.09,,,,,,7,,,,,,6.401832905000001,10.064347752,,,19.93280242,0.061001567,0.52
1350,Sungai Selangor Fasa 3,5.62,2021-07-23,38.22,32.58,1.11,0.06,0.09,,,,,,7,,,,,,6.415792721,9.693425767,,,22.72231364,0.06316437,0.46
1351,Sungai Selangor Fasa 3,5.82,2021-07-24,44.16,32.0,1.11,0.06,0.1,,,,,,7,,,,,,6.221544124,10.021190568,,,22.34160868,0.067256696,0.415
1352,Sungai Selangor Fasa 3,5.84,2021-07-25,40.78,31.67,1.07,0.07,0.09,,,,,,7,,,,,,4.902319456,9.779815766,,,22.41187833,0.063768179,0.465
1353,Sungai Selangor Fasa 3,5.97,2021-07-26,46.32,26.75,1.37,0.06,0.16,,,,,,7,,,,,,5.98438331,8.85897397,,,22.39315735,0.067160759,0.48
1354,Sungai Selangor Fasa 3,5.79,2021-07-27,37.38,36.75,1.39,0.06,0.16,,,,,,7,,,,,,6.161967577,9.019456243,,,22.61248116,0.067187107,0.47
1355,Sungai Selangor Fasa 3,5.72,2021-07-28,37.17,33.5,1.91,0.06,0.22,,,,,,7,,,,,,5.920560183999999,9.180073438,,,23.00535252,0.067559093,0.445
1356,Sungai Selangor Fasa 3,5.68,2021-07-29,36.61,31.0,1.81,0.06,0.19,,,,,,7,,,,,,6.046641023,9.053043845000001,,,22.92442628,0.065115669,0.455
1357,Sungai Selangor Fasa 3,5.72,2021-07-30,34.0,31.58,1.54,0.1,0.17,,,,,,7,,,,,,5.850279276,9.242120362,,,22.80232653,0.066310336,0.455
1358,Sungai Selangor Fasa 3,5.7,2021-07-31,33.43,28.0,1.54,0.06,0.1,,,,,,7,,,,,,4.973891602,9.289544373,,,22.82479906,0.070323048,0.48
1359,Batang Kali,6.87,2021-06-01,13.91,6.54,0.15,0.27,0.01,11.34,0.02,1.02,2.15,0.45,6,,,,,,,,,,,,
1360,Batang Kali,6.81,2021-06-02,17.15,2.04,0.28,0.09,0.04,13.69,0.02,0.99,2.25,0.45,6,,,,,,,,,,,,
1361,Batang Kali,6.8,2021-06-03,24.77,3.0,0.23,0.0,0.03,13.0,0.02,1.0,2.11,0.45,6,,,,,,,,,,,,
1362,Batang Kali,6.82,2021-06-04,40.17,3.5,0.25,0.24,0.08,13.61,0.02,9.34,2.12,0.45,6,,,,,,,,,,,,
1363,Batang Kali,6.67,2021-06-05,28.42,13.54,0.19,0.82,0.04,13.36,0.02,1.02,2.15,0.46,6,,,,,,,,,,,,
1364,Batang Kali,6.75,2021-06-06,29.38,4.04,0.25,0.2,0.03,12.94,0.02,1.76,2.21,0.47,6,,,,,,,,,,,,
1365,Batang Kali,6.67,2021-06-07,4.63,1.75,0.2,0.19,0.01,9.61,0.02,1.81,2.16,0.43,6,,,,,,,,,,,,
1366,Batang Kali,6.73,2021-06-08,3.76,0.58,0.17,0.15,0.01,9.8,0.02,1.78,2.13,0.43,6,,,,,,,,,,,,
1367,Batang Kali,6.84,2021-06-09,4.6,0.46,0.21,0.19,0.02,9.48,0.02,1.78,2.16,0.42,6,,,,,,,,,,,,
1368,Batang Kali,6.83,2021-06-10,94.39,9.79,0.23,0.0,0.04,13.78,0.02,2.08,2.28,0.46,6,,,,,,,,,,,,
1369,Batang Kali,6.76,2021-06-11,7.63,0.46,0.25,0.01,0.02,11.18,0.02,1.95,2.37,0.47,6,,,,,,,,,,,,
1370,Batang Kali,6.81,2021-06-12,45.55,4.79,0.21,0.07,0.05,13.6,0.02,1.96,2.31,4.51,6,,,,,,,,,,,,
1371,Batang Kali,6.73,2021-06-13,148.25,9.92,0.18,0.0,0.05,28.45,0.02,2.07,2.16,0.45,6,,,,,,,,,,,,
1372,Batang Kali,6.63,2021-06-14,17.06,3.88,0.19,0.21,0.04,11.1,0.02,1.89,2.27,0.45,6,,,,,,,,,,,,
1373,Batang Kali,6.8,2021-06-15,8.77,2.42,0.16,0.05,0.02,10.68,0.02,1.72,2.19,0.47,6,,,,,,,,,,,,
1374,Batang Kali,6.74,2021-06-16,16.4,3.25,0.19,0.0,0.04,10.55,0.02,1.69,2.23,0.5,6,,,,,,,,,,,,
1375,Batang Kali,6.89,2021-06-17,8.49,3.33,0.13,0.0,0.04,10.73,0.02,1.77,2.19,0.47,6,,,,,,,,,,,,
1376,Batang Kali,6.83,2021-06-18,4.7,0.38,0.14,0.15,0.01,10.62,0.02,1.98,2.28,0.53,6,,,,,,,,,,,,
1377,Batang Kali,6.83,2021-06-19,3.31,0.75,0.13,0.0,0.01,10.67,0.02,2.04,2.29,0.54,6,,,,,,,,,,,,
1378,Batang Kali,6.89,2021-06-20,18.97,4.58,0.22,0.0,0.03,12.39,0.02,1.62,2.27,0.48,6,,,,,,,,,,,,
1379,Batang Kali,6.85,2021-06-21,6.0,1.46,0.16,0.01,0.02,9.87,0.02,1.08,2.28,0.49,6,,,,,,,,,,,,
1380,Batang Kali,6.81,2021-06-22,3.56,1.63,0.16,0.09,0.02,9.76,0.02,1.15,2.25,0.48,6,,,,,,,,,,,,
1381,Batang Kali,6.75,2021-06-23,2.77,1.17,0.15,0.0,0.01,9.7,0.02,1.05,2.22,0.47,6,,,,,,,,,,,,
1382,Batang Kali,6.8,2021-06-24,2.38,0.58,0.14,0.0,0.01,9.42,0.02,1.03,2.2,0.46,6,,,,,,,,,,,,
1383,Batang Kali,6.79,2021-06-25,2.34,0.17,0.15,0.11,0.01,8.71,0.02,1.07,2.26,0.48,6,,,,,,,,,,,,
1384,Batang Kali,6.68,2021-06-26,2.29,0.25,0.17,0.15,0.01,8.76,0.02,1.09,2.3,0.49,6,,,,,,,,,,,,
1385,Batang Kali,6.62,2021-06-27,10.6,9.38,0.13,0.0,0.01,10.58,0.02,1.09,2.3,0.49,6,,,,,,,,,,,,
1386,Batang Kali,6.72,2021-06-28,4.94,1.79,0.2,0.08,0.01,11.53,0.02,1.1,2.32,0.49,6,,,,,,,,,,,,
1387,Batang Kali,6.72,2021-06-29,8.27,1.25,0.16,0.13,0.01,11.63,0.02,1.07,2.28,0.48,6,,,,,,,,,,,,
1388,Batang Kali,6.67,2021-06-30,2.45,0.25,0.18,0.17,0.01,10.61,0.02,1.05,2.25,0.47,6,,,,,,,,,,,,
1389,Rantau Panjang New,6.47,2021-06-01,66.96,131.71,1.11,0.25,0.24,,,,3.95,0.5,6,,10.82,20.03,0.0,,,,,,,,
1390,Rantau Panjang New,6.49,2021-06-02,75.42,144.71,1.22,0.22,0.2,,,,3.89,0.5,6,,10.89,21.14,0.0,,,,,,,,
1391,Rantau Panjang New,6.44,2021-06-03,92.0,174.33,1.48,0.31,0.24,,,,3.94,0.5,6,,10.72,23.34,0.0,,,,,,,,
1392,Rantau Panjang New,6.39,2021-06-04,139.92,240.33,1.22,0.35,0.3,,,,3.96,0.5,6,,10.77,23.32,0.0,,,,,,,,
1393,Rantau Panjang New,6.21,2021-06-05,445.79,450.21,1.77,0.39,0.26,,,,3.97,0.51,6,,10.91,37.61,0.0,,,,,,,,
1394,Rantau Panjang New,6.44,2021-06-06,90.17,183.04,1.23,0.3,0.19,,,,3.97,0.5,6,,10.84,22.89,0.0,,,,,,,,
1395,Rantau Panjang New,6.46,2021-06-07,94.75,145.29,1.09,0.28,0.23,,,,4.02,0.51,6,,10.9,20.84,0.0,,,,,,,,
1396,Rantau Panjang New,6.45,2021-06-08,62.75,127.46,1.33,0.27,0.22,,,,3.99,0.51,6,,10.8,20.32,0.0,,,,,,,,
1397,Rantau Panjang New,6.43,2021-06-09,54.42,108.63,1.05,0.23,0.2,,,,3.99,0.51,6,,10.82,20.52,0.0,,,,,,,,
1398,Rantau Panjang New,6.42,2021-06-10,177.58,261.29,1.17,0.3,0.27,,,,4.01,0.51,6,,10.9,26.25,0.0,,,,,,,,
1399,Rantau Panjang New,6.41,2021-06-11,99.54,204.38,1.18,0.27,0.29,,,,4.03,0.51,6,,10.92,22.55,0.0,,,,,,,,
1400,Rantau Panjang New,6.49,2021-06-12,55.08,110.88,1.18,0.2,0.15,,,,4.02,0.51,6,,10.88,20.41,0.0,,,,,,,,
1401,Rantau Panjang New,6.45,2021-06-13,104.58,166.04,1.27,0.25,0.26,,,,4.01,0.51,6,,10.91,22.4,0.0,,,,,,,,
1402,Rantau Panjang New,6.28,2021-06-14,316.71,487.0,1.72,0.5,0.48,,,,4.02,0.51,6,,10.88,29.0,0.0,,,,,,,,
1403,Rantau Panjang New,6.31,2021-06-15,176.0,308.13,1.32,0.33,0.3,,,,3.95,0.52,6,,10.83,25.88,0.0,,,,,,,,
1404,Rantau Panjang New,6.35,2021-06-16,106.58,179.75,1.05,0.23,0.22,,,,4.13,0.53,6,,11.16,23.76,0.0,,,,,,,,
1405,Rantau Panjang New,6.36,2021-06-17,214.92,299.13,1.39,0.41,0.47,,,,3.91,0.53,6,,10.8,24.95,0.0,,,,,,,,
1406,Rantau Panjang New,6.38,2021-06-18,92.0,189.75,1.26,0.34,0.3,,,,3.97,0.51,6,,10.93,21.84,0.0,,,,,,,,
1407,Rantau Panjang New,6.44,2021-06-19,52.83,108.33,1.22,0.26,0.22,,,,3.91,0.51,6,,10.9,20.1,0.0,,,,,,,,
1408,Rantau Panjang New,6.41,2021-06-20,202.71,290.63,1.17,0.36,0.37,,,,4.01,0.51,6,,10.86,24.55,0.0,,,,,,,,
1409,Rantau Panjang New,6.39,2021-06-21,87.21,175.63,1.08,0.24,0.17,,,,3.97,0.52,6,,11.08,21.71,0.0,,,,,,,,
1410,Rantau Panjang New,6.42,2021-06-22,56.17,117.04,1.2,0.21,0.12,,,,3.96,0.52,6,,10.99,19.31,0.0,,,,,,,,
1411,Rantau Panjang New,6.47,2021-06-23,61.65,115.26,1.25,0.23,0.18,,,,3.98,0.51,6,,10.96,19.03,0.0,,,,,,,,
1412,Rantau Panjang New,6.48,2021-06-24,37.63,89.58,1.04,0.23,0.22,,,,3.91,0.51,6,,10.99,17.02,0.0,,,,,,,,
1413,Rantau Panjang New,6.51,2021-06-25,42.71,98.25,1.01,0.17,0.21,,,,3.95,0.5,6,,10.7,17.05,0.0,,,,,,,,
1414,Rantau Panjang New,6.45,2021-06-26,57.21,109.54,1.14,0.2,0.22,,,,3.97,0.51,6,,10.82,16.95,0.0,,,,,,,,
1415,Rantau Panjang New,6.42,2021-06-27,71.38,148.13,0.97,0.25,0.16,,,,3.99,0.51,6,,10.91,19.46,0.0,,,,,,,,
1416,Rantau Panjang New,6.42,2021-06-28,59.63,138.08,0.96,0.21,0.16,,,,3.99,0.51,6,,10.85,20.06,0.0,,,,,,,,
1417,Rantau Panjang New,6.25,2021-06-29,463.88,648.88,1.63,0.4,0.29,,,,4.0,0.51,6,,10.85,32.91,0.0,,,,,,,,
1418,Rantau Panjang New,6.3,2021-06-30,173.63,339.83,1.36,0.37,0.45,,,,3.98,0.51,6,,10.95,25.0,0.0,,,,,,,,
1419,Rantau Panjang Old,6.51,2021-06-01,69.21,200.0,0.85,0.46,0.1,,,,5.97,0.48,6,,2.64,18.2,0.0,,,,,,,,
1420,Rantau Panjang Old,6.52,2021-06-02,136.83,287.5,0.78,0.38,0.09,,,,6.32,0.49,6,,2.66,20.38,0.0,,,,,,,,
1421,Rantau Panjang Old,6.48,2021-06-03,93.75,240.0,0.8,0.43,0.12,,,,6.3,0.48,6,,2.65,19.16,0.0,,,,,,,,
1422,Rantau Panjang Old,6.51,2021-06-04,163.42,314.58,0.7,0.46,0.13,,,,6.25,0.48,6,,2.63,20.22,0.0,,,,,,,,
1423,Rantau Panjang Old,6.43,2021-06-05,603.81,1100.0,1.11,0.75,0.26,,,,6.32,0.48,6,,2.47,32.51,0.0,,,,,,,,
1424,Rantau Panjang Old,6.51,2021-06-06,133.14,295.24,0.88,0.33,0.12,,,,6.54,0.48,6,,2.4,21.23,0.0,,,,,,,,
1425,Rantau Panjang Old,6.49,2021-06-07,132.12,288.24,0.73,0.64,0.08,,,,6.41,0.49,6,,2.77,21.35,0.0,,,,,,,,
1426,Rantau Panjang Old,6.53,2021-06-08,106.2,250.0,0.98,0.42,0.1,,,,6.26,0.48,6,,2.64,20.08,0.0,,,,,,,,
1427,Rantau Panjang Old,6.53,2021-06-09,91.9,228.57,0.82,0.61,0.08,,,,6.37,0.49,6,,2.69,19.15,0.0,,,,,,,,
1428,Rantau Panjang Old,6.56,2021-06-10,248.75,427.5,1.12,0.66,0.16,,,,6.24,0.48,6,,2.63,22.28,0.0,,,,,,,,
1429,Rantau Panjang Old,6.5,2021-06-11,200.67,350.0,0.79,0.39,0.14,,,,6.19,0.47,6,,2.6,23.46,0.0,,,,,,,,
1430,Rantau Panjang Old,6.5,2021-06-12,86.33,230.56,0.92,0.52,0.07,,,,6.22,0.48,6,,2.62,18.85,0.0,,,,,,,,
1431,Rantau Panjang Old,6.49,2021-06-13,142.63,307.89,0.88,0.31,0.19,,,,6.22,0.48,6,,2.62,20.19,0.0,,,,,,,,
1432,Rantau Panjang Old,6.39,2021-06-14,406.55,716.09,1.23,0.49,0.31,,,,6.19,0.48,6,,2.59,26.67,0.0,,,,,,,,
1433,Rantau Panjang Old,6.39,2021-06-15,213.17,394.44,1.02,0.4,0.19,,,,6.13,0.47,6,,2.58,23.03,0.0,,,,,,,,
1434,Rantau Panjang Old,6.45,2021-06-16,196.93,346.67,0.69,0.37,0.28,,,,6.17,0.48,6,,2.54,23.31,0.0,,,,,,,,
1435,Rantau Panjang Old,6.41,2021-06-17,331.86,636.36,0.78,0.43,0.21,,,,6.36,0.47,6,,2.58,24.68,0.0,,,,,,,,
1436,Rantau Panjang Old,6.54,2021-06-18,120.05,273.68,1.0,0.36,0.24,,,,6.32,0.45,6,,2.66,20.69,0.0,,,,,,,,
1437,Rantau Panjang Old,6.54,2021-06-19,67.67,200.0,0.77,0.3,0.1,,,,6.32,0.45,6,,2.66,18.32,0.0,,,,,,,,
1438,Rantau Panjang Old,6.41,2021-06-20,100.94,229.41,1.14,0.33,0.22,,,,6.84,0.49,6,,2.85,19.23,0.0,,,,,,,,
1439,Rantau Panjang Old,6.53,2021-06-21,105.62,266.67,0.86,0.33,0.16,,,,6.73,0.49,6,,2.85,20.34,0.0,,,,,,,,
1440,Rantau Panjang Old,6.49,2021-06-22,66.86,202.38,0.79,0.32,0.14,,,,6.66,0.49,6,,2.84,18.31,0.0,,,,,,,,
1441,Rantau Panjang Old,6.57,2021-06-23,68.96,200.0,0.87,0.33,0.11,,,,6.15,0.5,6,,2.5,18.33,0.0,,,,,,,,
1442,Rantau Panjang Old,6.52,2021-06-24,66.0,200.0,0.99,0.38,0.09,,,,6.66,0.54,6,,2.77,18.3,0.0,,,,,,,,
1443,Rantau Panjang Old,6.52,2021-06-25,108.8,203.33,1.16,0.35,0.13,,,,6.57,0.52,6,,2.76,18.39,0.0,,,,,,,,
1444,Rantau Panjang Old,6.52,2021-06-26,65.2,200.0,0.89,0.29,0.14,,,,6.58,0.53,6,,2.76,18.4,0.0,,,,,,,,
1445,Rantau Panjang Old,6.51,2021-06-27,84.28,216.67,0.7,0.4,0.06,,,,6.85,0.53,6,,2.76,18.65,0.0,,,,,,,,
1446,Rantau Panjang Old,6.52,2021-06-28,74.76,202.38,0.91,0.33,0.17,,,,6.83,0.5,6,,2.7,18.39,0.0,,,,,,,,
1447,Rantau Panjang Old,6.46,2021-06-29,577.41,1082.35,1.32,0.62,0.29,,,,6.75,0.49,6,,2.67,29.27,0.0,,,,,,,,
1448,Rantau Panjang Old,6.46,2021-06-30,255.39,450.0,0.99,0.42,0.32,,,,6.91,0.51,6,,2.73,23.61,0.0,,,,,,,,
1449,Sungai Rangkap,6.72,2021-06-01,6.31,6.08,0.1,0.06,0.0,10.0,,,4.58,0.44,6,1.67,,,,,,,,,,,
1450,Sungai Rangkap,6.71,2021-06-02,8.07,10.54,0.14,0.1,0.05,0.0,,,4.2,2.13,6,0.0,,,,,,,,,,,
1451,Sungai Rangkap,6.7,2021-06-03,3.74,3.83,0.14,0.1,0.01,0.0,,,4.58,0.44,6,0.0,,,,,,,,,,,
1452,Sungai Rangkap,6.72,2021-06-04,3.41,2.33,0.12,0.08,0.06,0.0,,,4.2,0.4,6,0.0,,,,,,,,,,,
1453,Sungai Rangkap,6.64,2021-06-05,23.77,32.04,0.01,0.02,0.03,13.75,,,4.58,0.44,6,1.88,,,,,,,,,,,
1454,Sungai Rangkap,6.76,2021-06-06,3.16,3.75,0.04,0.06,0.01,0.0,,,4.58,0.43,6,0.0,,,,,,,,,,,
1455,Sungai Rangkap,6.7,2021-06-07,14.25,8.96,0.03,0.05,0.03,9.2,,,4.55,0.44,6,1.8,,,,,,,,,,,
1456,Sungai Rangkap,6.78,2021-06-08,3.58,4.17,0.02,0.03,0.03,0.0,,,4.59,0.44,6,0.0,,,,,,,,,,,
1457,Sungai Rangkap,6.81,2021-06-09,3.09,2.33,0.01,0.02,0.06,0.0,,,4.58,0.44,6,0.0,,,,,,,,,,,
1458,Sungai Rangkap,6.82,2021-06-10,2.81,2.04,0.01,0.01,0.03,0.0,,,4.59,0.45,6,0.0,,,,,,,,,,,
1459,Sungai Rangkap,6.78,2021-06-11,2.02,0.63,0.01,0.01,0.03,0.0,,,4.6,0.44,6,0.0,,,,,,,,,,,
1460,Sungai Rangkap,6.82,2021-06-12,3.05,3.92,0.04,0.06,0.05,0.0,,,4.59,0.44,6,0.0,,,,,,,,,,,
1461,Sungai Rangkap,6.8,2021-06-13,5.3,3.88,0.04,0.04,0.05,0.0,,,4.61,0.45,6,0.0,,,,,,,,,,,
1462,Sungai Rangkap,6.55,2021-06-14,27.32,31.83,0.14,0.02,0.03,13.43,,,4.6,0.44,6,2.71,,,,,,,,,,,
1463,Sungai Rangkap,6.75,2021-06-15,4.04,2.67,0.11,0.02,0.03,0.0,,,4.54,0.44,6,0.0,,,,,,,,,,,
1464,Sungai Rangkap,6.8,2021-06-16,3.01,2.92,0.2,0.03,0.04,0.0,,,4.55,0.44,6,0.0,,,,,,,,,,,
1465,Sungai Rangkap,6.8,2021-06-17,2.56,1.75,0.12,0.02,0.03,0.0,,,4.56,0.44,6,0.0,,,,,,,,,,,
1466,Sungai Rangkap,6.78,2021-06-18,2.43,2.04,0.12,0.02,0.03,0.0,,,4.56,0.45,6,0.0,,,,,,,,,,,
1467,Sungai Rangkap,6.78,2021-06-19,2.22,0.67,0.11,0.08,0.02,0.0,,,4.56,0.44,6,0.0,,,,,,,,,,,
1468,Sungai Rangkap,6.67,2021-06-20,11.41,13.04,0.12,0.07,0.02,10.0,,,4.56,0.44,6,1.75,,,,,,,,,,,
1469,Sungai Rangkap,6.76,2021-06-21,3.15,3.25,0.15,0.09,0.06,0.0,,,4.55,0.43,6,0.0,,,,,,,,,,,
1470,Sungai Rangkap,6.77,2021-06-22,2.61,2.96,0.1,0.06,0.05,0.0,,,4.55,0.43,6,0.0,,,,,,,,,,,
1471,Sungai Rangkap,6.83,2021-06-23,2.62,5.25,0.09,0.06,0.04,0.0,,,4.55,0.43,6,0.0,,,,,,,,,,,
1472,Sungai Rangkap,6.79,2021-06-24,2.18,1.42,0.11,0.07,0.05,0.0,,,4.55,0.43,6,0.0,,,,,,,,,,,
1473,Sungai Rangkap,6.8,2021-06-25,2.01,1.58,0.1,0.05,0.04,0.0,,,4.2,0.4,6,0.0,,,,,,,,,,,
1474,Sungai Rangkap,6.8,2021-06-26,2.07,1.58,0.1,0.03,0.04,0.0,,,4.59,0.45,6,0.0,,,,,,,,,,,
1475,Sungai Rangkap,6.74,2021-06-27,8.49,4.83,0.03,0.03,0.03,10.5,,,4.78,0.44,6,1.75,,,,,,,,,,,
1476,Sungai Rangkap,6.8,2021-06-28,2.74,3.29,0.02,0.02,0.03,0.0,,,4.59,0.45,6,0.0,,,,,,,,,,,
1477,Sungai Rangkap,6.75,2021-06-29,4.66,4.79,0.02,0.02,0.03,0.0,,,4.59,0.44,6,0.0,,,,,,,,,,,
1478,Sungai Rangkap,6.83,2021-06-30,2.33,0.83,0.12,0.02,0.03,0.0,,,4.59,0.45,6,0.0,,,,,,,,,,,
1479,Kuala Kubu Bharu,7.19,2021-06-01,2.02,9.38,0.03,0.01,0.02,0.0,,,2.5,0.51,6,2.0,,,,,,,,,,,
1480,Kuala Kubu Bharu,7.2,2021-06-02,2.15,9.25,0.06,0.0,0.02,0.0,,,2.5,0.51,6,2.0,,,,,,,,,,,
1481,Kuala Kubu Bharu,7.11,2021-06-03,8.08,46.5,0.07,0.01,0.04,14.0,,,2.5,0.51,6,2.0,,,,,,,,,,,
1482,Kuala Kubu Bharu,7.17,2021-06-04,4.33,20.13,0.06,0.02,0.02,0.0,,,2.5,0.51,6,2.0,,,,,,,,,,,
1483,Kuala Kubu Bharu,7.12,2021-06-05,6.37,36.67,0.06,0.1,0.01,12.0,,,2.5,0.51,6,2.0,,,,,,,,,,,
1484,Kuala Kubu Bharu,7.19,2021-06-06,2.93,13.25,0.03,0.11,0.01,0.0,,,2.5,0.51,6,2.0,,,,,,,,,,,
1485,Kuala Kubu Bharu,7.24,2021-06-07,2.37,12.5,0.02,0.02,0.02,0.0,,,2.5,0.51,6,2.0,,,,,,,,,,,
1486,Kuala Kubu Bharu,7.12,2021-06-08,2.22,24.0,0.03,0.07,0.02,0.0,,,2.5,0.51,6,2.0,,,,,,,,,,,
1487,Kuala Kubu Bharu,7.22,2021-06-09,2.18,6.63,0.01,0.03,0.02,0.0,,,2.5,0.51,6,2.0,,,,,,,,,,,
1488,Kuala Kubu Bharu,7.22,2021-06-10,2.06,8.54,0.03,0.12,0.02,0.0,,,2.51,0.51,6,2.0,,,,,,,,,,,
1489,Kuala Kubu Bharu,7.25,2021-06-11,1.74,5.75,0.02,0.05,0.0,0.0,,,2.57,0.51,6,2.0,,,,,,,,,,,
1490,Kuala Kubu Bharu,7.24,2021-06-12,1.77,6.88,0.02,0.02,0.03,0.0,,,2.5,0.51,6,2.0,,,,,,,,,,,
1491,Kuala Kubu Bharu,7.26,2021-06-13,2.27,8.79,0.04,0.01,0.04,0.0,,,2.5,0.51,6,2.0,,,,,,,,,,,
1492,Kuala Kubu Bharu,7.24,2021-06-14,2.1,7.42,0.02,0.01,0.03,0.0,,,2.5,0.51,6,2.0,,,,,,,,,,,
1493,Kuala Kubu Bharu,7.23,2021-06-15,2.44,9.13,0.03,0.01,0.03,0.0,,,2.5,0.51,6,2.0,,,,,,,,,,,
1494,Kuala Kubu Bharu,7.18,2021-06-16,6.02,28.63,0.07,0.02,0.01,13.5,,,2.51,0.5,6,2.0,,,,,,,,,,,
1495,Kuala Kubu Bharu,7.17,2021-06-17,3.91,17.04,0.03,0.02,0.05,0.0,,,2.5,0.51,6,2.0,,,,,,,,,,,
1496,Kuala Kubu Bharu,7.27,2021-06-18,2.23,8.63,0.07,0.03,0.02,0.0,,,2.51,0.51,6,2.0,,,,,,,,,,,
1497,Kuala Kubu Bharu,7.23,2021-06-19,2.03,9.08,0.02,0.01,0.01,0.0,,,2.51,0.5,6,2.0,,,,,,,,,,,
1498,Kuala Kubu Bharu,7.22,2021-06-20,2.5,12.33,0.02,0.01,0.02,0.0,,,2.5,0.51,6,2.0,,,,,,,,,,,
1499,Kuala Kubu Bharu,7.21,2021-06-21,2.33,10.0,0.03,0.01,0.01,0.0,,,2.52,0.5,6,2.0,,,,,,,,,,,
1500,Kuala Kubu Bharu,7.25,2021-06-22,1.97,7.38,0.02,0.01,0.02,0.0,,,2.51,0.5,6,2.0,,,,,,,,,,,
1501,Kuala Kubu Bharu,7.23,2021-06-23,2.08,7.92,0.03,0.02,0.02,0.0,,,2.51,0.51,6,2.0,,,,,,,,,,,
1502,Kuala Kubu Bharu,7.26,2021-06-24,1.89,8.33,0.03,0.01,0.01,0.0,,,0.51,2.5,6,2.0,,,,,,,,,,,
1503,Kuala Kubu Bharu,7.23,2021-06-25,11.2,55.38,0.04,0.01,0.01,13.0,,,2.5,0.51,6,2.0,,,,,,,,,,,
1504,Kuala Kubu Bharu,7.12,2021-06-26,3.31,15.43,0.09,0.11,0.03,10.0,,,2.5,0.51,6,2.0,,,,,,,,,,,
1505,Kuala Kubu Bharu,7.24,2021-06-27,2.24,9.75,0.05,0.11,0.01,0.0,,,2.5,0.51,6,2.0,,,,,,,,,,,
1506,Kuala Kubu Bharu,7.21,2021-06-28,2.06,8.38,0.05,0.04,0.02,0.0,,,2.5,0.51,6,2.0,,,,,,,,,,,
1507,Kuala Kubu Bharu,7.17,2021-06-29,4.48,25.13,0.04,0.15,0.01,10.0,,,2.5,0.51,6,2.0,,,,,,,,,,,
1508,Kuala Kubu Bharu,7.16,2021-06-30,2.58,12.75,0.02,0.0,0.02,0.0,,,2.5,0.51,6,2.0,,,,,,,,,,,
1509,Rasa,6.57,2021-06-01,14.23,27.08,0.74,0.02,0.05,,,,,,6,,,,,,3.89,11.75,,,28.08,0.06,0.76
1510,Rasa,6.74,2021-06-02,58.89,48.0,1.04,0.1,0.09,,,,,,6,,,,,,3.25,4.34,,,30.82,0.05,0.6
1511,Rasa,6.68,2021-06-03,14.19,31.33,0.62,0.02,0.05,,,,,,6,,,,,,3.02,10.97,,,27.94,0.04,0.55
1512,Rasa,6.51,2021-06-04,37.95,31.42,0.9,0.07,0.08,,,,,,6,,,,,,3.12,9.54,,,28.25,0.06,0.53
1513,Rasa,6.48,2021-06-05,42.75,38.83,0.95,0.07,0.07,,,,,,6,,,,,,2.97,6.43,,,29.66,0.07,0.4
1514,Rasa,6.55,2021-06-06,12.75,22.25,0.74,0.0,0.06,,,,,,6,,,,,,2.92,11.39,,,25.47,0.05,0.49
1515,Rasa,6.51,2021-06-07,8.16,22.42,0.69,0.0,0.06,,,,,,6,,,,,,3.16,11.64,,,23.98,0.07,0.63
1516,Rasa,6.47,2021-06-08,10.91,22.17,0.72,0.03,0.06,,,,,,6,,,,,,3.06,11.64,,,26.95,0.07,0.0
1517,Rasa,6.55,2021-06-09,8.48,22.0,0.66,0.02,0.06,,,,,,6,,,,,,3.13,6.39,,,20.94,0.07,0.57
1518,Rasa,6.72,2021-06-10,11.12,23.0,0.68,0.05,0.06,,,,,,6,,,,,,2.94,5.72,,,25.53,0.06,0.52
1519,Rasa,6.68,2021-06-11,10.74,22.33,0.83,0.04,0.06,,,,,,6,,,,,,3.18,11.75,,,22.29,0.06,0.0
1520,Rasa,6.74,2021-06-12,4.79,19.75,0.59,0.02,0.05,,,,,,6,,,,,,2.86,5.81,,,24.22,0.06,0.52
1521,Rasa,6.64,2021-06-13,12.54,25.08,0.82,0.02,0.06,,,,,,6,,,,,,2.99,9.46,,,23.88,0.04,0.46
1522,Rasa,6.53,2021-06-14,19.23,31.75,0.84,0.02,0.06,,,,,,6,,,,,,3.08,7.64,,,19.79,0.04,0.69
1523,Rasa,6.55,2021-06-15,82.26,78.67,1.34,0.12,0.09,,,,,,6,,,,,,2.91,5.94,,,23.27,0.06,0.64
