,wtp,Date,pH_avg,Turbidity_avg,Color_avg,Iron_avg,Ammonia_avg,Manganese_avg,Soda_Ash,Liquid_Chlorine,Liquid_Polyaluminium_Chloride,Hydrated_Lime,Aluminium_Sulphate
437,Rasa,2021-08-13,0.8784773060029225,38.14741035856574,55.740037950664146,42.85714285714285,,25.000000000000007,,6.622516556291397,8.878048780487799,-18.854097268487678,
438,Rasa,2021-08-14,0.5856515373352861,-30.0796812749004,20.161290322580648,28.57142857142855,,25.000000000000007,,5.629139072847679,4.039024390243903,17.121918720852754,
439,Rasa,2021-08-15,1.756954612005858,-6.3745019920318615,24.52561669829223,28.57142857142855,,49.999999999999986,,5.960264900662257,-11.804878048780482,-100.0,
440,Rasa,2021-08-16,0.0,18.725099601593634,34.01328273244783,55.35714285714284,9999.0,49.999999999999986,,-4.304635761589401,-5.951219512195117,49.36708860759495,
441,Rasa,2021-08-17,-0.14641288433381827,14.04382470119522,28.889943074003817,49.99999999999998,9999.0,25.000000000000007,,-1.655629139072842,-4.702439024390237,64.29047301798802,
442,Rasa,2021-08-18,-0.7320644216691043,545.5179282868527,96.06261859582543,198.21428571428567,9999.0,124.99999999999997,,47.01986754966889,2.165853658536584,-13.657561625582936,
443,Rasa,2021-08-19,-1.0248901903367538,193.32669322709165,53.9373814041746,64.28571428571428,9999.0,49.999999999999986,,28.145695364238417,17.658536585365848,-33.37774816788807,
444,Rasa,2021-08-20,-1.6105417276720397,76.79282868525897,18.59582542694498,21.428571428571423,9999.0,49.999999999999986,,70.86092715231788,7.043902439024389,-100.0,
445,Rasa,2021-08-21,-0.4392386530014678,42.729083665338656,28.08349146110058,35.7142857142857,9999.0,49.999999999999986,,54.3046357615894,-9.658536585365859,-1.798800799467019,
446,Rasa,2021-08-22,-1.6105417276720397,35.7569721115538,22.15370018975333,51.78571428571427,9999.0,25.000000000000007,,68.54304635761589,-10.907317073170738,-14.057295136575613,
447,Rasa,2021-08-23,-1.756954612005858,7.768924302788857,12.286527514231516,26.785714285714267,9999.0,49.999999999999986,,50.993377483443695,-11.219512195121952,0.46635576282478536,
448,Rasa,2021-08-24,-1.756954612005858,608.964143426295,54.98102466793171,119.64285714285711,9999.0,124.99999999999997,,98.0132450331126,-26.04878048780488,84.14390406395736,
449,Rasa,2021-08-25,-0.14641288433381827,218.72509960159366,55.360531309297926,137.5,,75.00000000000001,,84.10596026490065,33.81463414634146,69.48700866089274,
450,Rasa,2021-08-26,-0.5856515373352861,43.027888446215144,33.68121442125238,51.78571428571427,9999.0,49.999999999999986,,18.874172185430456,28.156097560975624,-0.46635576282478536,
451,Rasa,2021-08-27,0.7320644216691043,51.095617529880485,58.91840607210628,80.35714285714283,9999.0,75.00000000000001,,56.6225165562914,-0.25365853658537085,21.91872085276483,
452,Rasa,2021-08-28,1.0248901903367538,52.49003984063747,29.648956356736246,66.07142857142857,,100.0,,26.158940397350992,-11.180487804878043,-4.197201865423045,
453,Rasa,2021-08-29,-2.0497803806734947,456.9721115537849,76.70777988614802,153.57142857142853,9999.0,100.0,,-4.9668874172185395,3.8048780487804934,-21.11925383077948,
454,Rasa,2021-08-30,-0.14641288433381827,-4.9800796812749,13.851992409867181,26.785714285714267,,25.000000000000007,,-3.3112582781456985,0.6439024390243869,-24.850099933377752,
455,Rasa,2021-08-31,-0.5856515373352861,330.57768924302786,42.6944971537002,146.4285714285714,9999.0,150.0,,-6.95364238410596,-7.473170731707314,-25.78281145902731,
456,Sungai Selangor Fasa 1,2021-08-01,-1.4446227929374116,-70.20886771711248,-65.16260252470542,-41.08527131782946,-14.285714285714295,-75.0,,-7.857354231614003,-35.976460787694606,4.476769547501351,
457,Sungai Selangor Fasa 1,2021-08-02,-3.5313001605136534,-74.84426529864419,-71.70207591802445,-37.98449612403101,28.57142857142855,-66.66666666666666,,-4.920883588705961,-27.472115798477088,8.022032795013867,
458,Sungai Selangor Fasa 1,2021-08-03,-3.0497592295345166,-75.76035177720776,-70.6519576415449,-41.08527131782946,14.285714285714276,-75.0,,-5.02449922581789,11.061698441978763,-17.244464525806215,
459,Sungai Selangor Fasa 1,2021-08-04,-2.5682182985553794,1.3741297178453646,-3.2608935953839016,-10.852713178294584,242.8571428571428,-41.66666666666666,,-3.1700763054604697,-3.558779377053143,-13.916915816882867,
