WTP,n_wtp,Code,Description,Amount per month (RM),Production (m3 per month),UnitCost (cent per m3),Month,Year
Bernam River Headworks (Old),Bernam River Headworks (Old),70110100,Chemical Consumed,71817.48,1145901,6.267337231,7,2020
Bukit Nanas,Bukit Nanas,70110100,Chemical Consumed,114366.3,3466301,3.299375905,7,2020
Bukit Tampoi,Bukit Tampoi New,70110100,Chemical Consumed,58581,497968,11.76400893,7,2020
Cheras Batu 11,Cheras Batu 11,70110100,Chemical Consumed,50363.8,695065,7.245912253,7,2020
Kalumpang,Kalumpang,70110100,Chemical Consumed,6730.25,158664,4.241825493,7,2020
Kepong,Kepong,70110100,Chemical Consumed,2368.5,50548,4.685645327,7,2020
Kuala Kubu Bharu,Kuala Kubu Bharu,70110100,Chemical Consumed,8115.5,187108,4.337334588,7,2020
Labohan Dagang,Labohan Dagang,70110100,Chemical Consumed,79328.15,1518334,5.224683765,7,2020
Langat 2,Langat 2,70110100,Chemical Consumed,539916.84,13124297,4.113872461,7,2020
North Hummock,North Hummock,70110100,Chemical Consumed,38334.29,359025,10.67733166,7,2020
Rantau Panjang,Rantau Panjang New,70110100,Chemical Consumed,42812.85,739629,5.788422304,7,2020
Rasa,Rasa,70110100,Chemical Consumed,315.91,6678779,0.004730056,7,2020
Salak Tinggi,Salak Tinggi,70110100,Chemical Consumed,6611.25,118321,5.587554196,7,2020
Semenyih 2 ,Semenyih 2,70110100,Chemical Consumed,193204.25,2844933,6.791170477,7,2020
Sungai Batu,Sungai Batu,70110100,Chemical Consumed,104856.8,3568449,2.938441883,7,2020
Sungai Buaya,NA,70110100,Chemical Consumed,184,NULL,NULL,7,2020
Sungai Dusun,Sungai Dusun,70110100,Chemical Consumed,5204.5,46304,11.23984969,7,2020
Sungai Gombak,Sungai Gombak,70110100,Chemical Consumed,43118.25,918469,4.694578696,7,2020
Sungai Labu,Sungai Labu,70110100,Chemical Consumed,82001.46,2419190,3.389624626,7,2020
Sungai Langat,Sungai Langat,70110100,Chemical Consumed,323076.07,7625212,4.236945412,7,2020
Sungai Lolo - Baru,Sungai Lolo - Baru,70110100,Chemical Consumed,4930.5,163547,3.014729711,7,2020
Sungai Pangsoon,Sungai Pangsoon,70110100,Chemical Consumed,4593,114116,4.024851905,7,2020
Sungai Rangkap,Sungai Rangkap,70110100,Chemical Consumed,11371.5,203109,5.59871793,7,2020
Sungai Rumput,Sungai Rumput,70110100,Chemical Consumed,2118.5,23895,8.865871521,7,2020
Sungai Selangor Fasa 1,Sungai Selangor Fasa 1,70110100,Chemical Consumed,462810.4,29350740,1.576827024,7,2020
Sungai Selangor Fasa 2,Sungai Selangor Fasa 2 Stream C,70110100,Chemical Consumed,1704917.2,32149151,5.303148441,7,2020
Sungai Selangor Fasa 3,Sungai Selangor Fasa 3 Stage 1,70110100,Chemical Consumed,0,25389900,0,3,2020
Sungai Selisek,Sungai Selisek,70110100,Chemical Consumed,5940,60216,9.864487844,7,2020
Sungai Semenyih,Sungai Semenyih,70110100,Chemical Consumed,666217.7,18816456,3.540612005,7,2020
Sungai Serai,Sungai Serai,70110100,Chemical Consumed,4680,42458,11.02265769,7,2020
Sungai Sireh,Sungai Sireh,70110100,Chemical Consumed,99467,534120,18.62259417,7,2020
Sungai Tengi,Sungai Tengi,70110100,Chemical Consumed,4580,58795,7.789778042,7,2020
Wangsa Maju,Wangsa Maju,70110100,Chemical Consumed,36802.2,1245376,2.955107534,7,2020
Ampang Intake,Ampang Intake,70110100,Chemical Consumed,36744,546195,6.727267734,8,2020
Batang Kali,Batang Kali,70110100,Chemical Consumed,25521,133578,19.10569106,8,2020
Bernam River Headworks (Old),Bernam River Headworks (Old),70110100,Chemical Consumed,68678.01,1117552,6.145397261,8,2020
Bukit Nanas,Bukit Nanas,70110100,Chemical Consumed,113295.3,3600519,3.146638026,8,2020
Bukit Tampoi,Bukit Tampoi New,70110100,Chemical Consumed,58492.3,514250,11.37429266,8,2020
Cheras Batu 11,Cheras Batu 11,70110100,Chemical Consumed,53546.85,708396,7.558886555,8,2020
Kalumpang,Kalumpang,70110100,Chemical Consumed,6632.75,160316,4.137297587,8,2020
Kepong,Kepong,70110100,Chemical Consumed,2368.5,52872,4.479686791,8,2020
Kuala Kubu Bharu,Kuala Kubu Bharu,70110100,Chemical Consumed,8220,185818,4.423683389,8,2020
Labohan Dagang,Labohan Dagang,70110100,Chemical Consumed,82839.4,1573590,5.264357298,8,2020
Langat 2,Langat 2,70110100,Chemical Consumed,502235,12611661,3.982306534,8,2020
North Hummock,North Hummock,70110100,Chemical Consumed,48238.88,403869,11.94418982,8,2020
Rantau Panjang,Rantau Panjang New,70110100,Chemical Consumed,47953.03,724360,6.620054945,8,2020
Rasa,Rasa,70110100,Chemical Consumed,301.72,6771414,0.00445579,8,2020
Salak Tinggi,Salak Tinggi,70110100,Chemical Consumed,5621.4,120607,4.660923495,8,2020
Semenyih 2 ,Semenyih 2,70110100,Chemical Consumed,175220.05,2779102,6.30491612,8,2020
Sungai Batu,Sungai Batu,70110100,Chemical Consumed,101443.5,3473926,2.920139922,8,2020
Sungai Buaya,NA,70110100,Chemical Consumed,229,NULL,NULL,8,2020
Sungai Dusun,Sungai Dusun,70110100,Chemical Consumed,4953.5,46878,10.56679039,8,2020
Sungai Gombak,Sungai Gombak,70110100,Chemical Consumed,37797.5,913216,4.138944127,8,2020
Sungai Labu,Sungai Labu,70110100,Chemical Consumed,65166.46,2489527.5,2.617623625,8,2020
Sungai Langat,Sungai Langat,70110100,Chemical Consumed,305916.55,8014141,3.81720948,8,2020
Sungai Lolo - Baru,Sungai Lolo - Baru,70110100,Chemical Consumed,6567.5,146092,4.495454919,8,2020
Sungai Pangsoon,Sungai Pangsoon,70110100,Chemical Consumed,4368,128023,3.411886927,8,2020
Sungai Rangkap,Sungai Rangkap,70110100,Chemical Consumed,11908.75,210162,5.666462063,8,2020
Sungai Rumput,Sungai Rumput,70110100,Chemical Consumed,655,13957,4.692985599,8,2020
Sungai Selangor Fasa 1,Sungai Selangor Fasa 1,70110100,Chemical Consumed,447007.4,29028231,1.539905756,8,2020
Sungai Selangor Fasa 2,Sungai Selangor Fasa 2 Stream C,70110100,Chemical Consumed,1682871.35,31523310,5.338498241,8,2020
Sungai Selangor Fasa 3,Sungai Selangor Fasa 3 Stage 1,70110100,Chemical Consumed,0,26088144,,3,2021
