wtp,Date,Liquid Polyaluminium Chloride (mg/L) _avg,Raw Water Polyelectrolyte 4290 PWG / 4190 PWG / AN910 (mg/L) _avg,Hydrated Lime (Post) (mg/L) _avg,Liquid Chlorine (Post) (mg/L) _avg,Sodium Silico Fluoride (mg/L) _avg,Liquid Chlorine (Pre) (mg/L) _avg,Hydrated Lime (Pre) (mg/L) _avg
Rasa,1/10/2021,27.75,0.04,0,2.87,0.53,,
Rasa,2/10/2021,25.25,0.05,9.64,2.87,0.62,,
Rasa,3/10/2021,31.36,0.05,9.9,3.03,0.59,,
Rasa,4/10/2021,29.59,0.05,6.64,2.94,0.32,,
Rasa,5/10/2021,24.53,0.04,5.54,2.89,0.25,,
Rasa,6/10/2021,26.34,0.04,10.66,2.89,0.59,,
Rasa,7/10/2021,26.7,0,10.37,3.04,1.32,,
Rasa,8/10/2021,27.23,0.05,2.55,3.13,0,,
Rasa,9/10/2021,25.58,0.04,9.97,3.17,0,,
Rasa,10/10/2021,24.89,0.05,8.78,3.05,0,,
Rasa,11/10/2021,25.9,0.04,5.63,3.08,0.22,,
Rasa,12/10/2021,24.65,0.05,9.38,2.73,0.31,,
Rasa,13/10/2021,28.43,0.04,9.06,2.86,0.52,,
Rasa,14/10/2021,23.74,0.04,5.4,3.17,0.17,,
Rasa,15/10/2021,25.17,0.06,10.7,2.92,0.2,,
Rasa,16/10/2021,29.04,0.05,11.04,2.62,0.45,,
Rasa,17/10/2021,23.82,0.05,11.79,3.25,0.32,,
Rasa,18/10/2021,25.78,0.05,7.26,3.4,0,,
Rasa,19/10/2021,19.21,0.05,7.6,3.86,0.48,,
Rasa,20/10/2021,22.6,0.06,5.48,3.21,0,,
Rasa,21/10/2021,30.77,0.04,10.12,3.2,0.29,,
Rasa,22/10/2021,28.37,0.06,6.41,3.93,0.22,,
Rasa,23/10/2021,26.2,0.05,10.34,3.58,0,,
Rasa,24/10/2021,33.52,0.05,9.59,3.72,0,,
Rasa,25/10/2021,32.46,0.05,6.2,3.07,0.46,,
Rasa,26/10/2021,36.95,0.04,10.23,2.79,0.37,,
Rasa,27/10/2021,30.57,0.05,5.02,2.88,0.34,,
Rasa,28/10/2021,34.11,0.05,10.6,3.64,0,,
Rasa,29/10/2021,29.41,0.04,10.5,3.79,0.14,,
Rasa,30/10/2021,33.2,0.05,6.02,3.11,0,,
Rasa,31/10/2021,28.7,0.05,6.71,3.14,1.93,,
Rasa,1/11/2021,36.24,0.07,11.13,3.58,0.3,,
Rasa,2/11/2021,28.36,0.06,4.83,3.1,0,,
Rasa,3/11/2021,31.01,0.04,4.86,3.36,0.66,,
Rasa,4/11/2021,33.48,0.06,8.26,3.06,0.38,,
Rasa,5/11/2021,33.84,0.05,12.52,3.52,0.61,,
Rasa,6/11/2021,31.1,0.05,11.57,3.03,0.57,,
Rasa,7/11/2021,30.63,0.05,7.46,3.21,0.19,,
Rasa,8/11/2021,30.6,0.06,6.57,2.95,0,,
Rasa,9/11/2021,31.71,0.05,10.17,3.41,0.14,,
Rasa,10/11/2021,36.65,0.05,4.97,3.23,0,,
Rasa,11/11/2021,35.26,0.05,11.55,2.79,0.24,,
Rasa,12/11/2021,34.59,0.06,9.08,3.4,0.36,,
Rasa,13/11/2021,30.02,0.05,10.2,2.86,0,,
Rasa,14/11/2021,33.33,0.05,8.9,3.06,0,,
Rasa,15/11/2021,34.16,0.05,6.42,3.23,0.19,,
Rasa,16/11/2021,28.99,0.05,5.29,3.04,0,,
Rasa,17/11/2021,32.57,0.06,10.57,2.8,0,,
Rasa,18/11/2021,38.48,0.05,10.26,3,1.32,,
Rasa,19/11/2021,33.51,0.04,5.17,3.03,0,,
Rasa,20/11/2021,32.99,0.06,4.64,3.04,0,,
Rasa,21/11/2021,38.75,0.05,9.94,3.08,0,,
Rasa,22/11/2021,35.33,0.05,6.88,3.09,1.42,,
Rasa,23/11/2021,34.02,0.04,7.93,2.77,0,,
Rasa,24/11/2021,36.22,0.05,4.86,3.06,1.83,,
Rasa,25/11/2021,34.49,0.03,9.95,2.89,1.58,,
Rasa,26/11/2021,33.94,0.05,9.32,2.88,0,,
Rasa,27/11/2021,31.04,0.05,9.43,3.29,2.33,,
Rasa,28/11/2021,33.99,0.04,7.81,2.99,0,,
Rasa,29/11/2021,28.12,0.05,7.41,2.71,2.15,,
Rasa,30/11/2021,30,0.02,9.86,2.59,0,,
Rasa,1/12/2021,25.64,0.05,4.76,3.22,0,,
Rasa,2/12/2021,25.52,0.05,9.65,2.74,0,,
Rasa,3/12/2021,29.22,0.01,5.31,2.8,0,,
Rasa,4/12/2021,27.95,0.04,9.31,2.98,1.17,,
Rasa,5/12/2021,28.63,0.04,5.06,2.97,0,,
Rasa,6/12/2021,22.74,0.05,5.43,2.9,1.7,,
Rasa,7/12/2021,27.43,0.05,10.18,3.06,0,,
Rasa,8/12/2021,23.6,0.04,6.83,3.36,1.12,,
Rasa,9/12/2021,22.4,0.04,7.24,3.18,1.14,,
Rasa,10/12/2021,24.13,0.05,15.44,2.94,1.68,,
Rasa,11/12/2021,22.64,0.05,5.78,3.21,0,,
Rasa,12/12/2021,28.01,0.03,5.04,2.92,0,,
Rasa,13/12/2021,25.43,0.03,4.73,2.85,0.83,,
Rasa,14/12/2021,29.18,0.05,9.35,3.03,0,,
Rasa,15/12/2021,25.39,0.05,5.38,2.96,1,,
Rasa,16/12/2021,23.63,0.03,4.54,3.53,0,,
