wtp,Date,Column2,Column3,Year,Month,ChemicalCode,ChemicalName,TotalMTConsumed,UnitPrice,TotalRMAmount,Column1
Sungai Tengi,1/4/2022,4,2022,2022,4,B04,Soda Ash (25kg / bag),0.975,1900,1852.5,April
Sungai Tengi,1/4/2022,4,2022,2022,4,C02,Liquid Chlorine (68kg / Cylinder),0.204,8400,1713.6,April
Sungai Tengi,1/4/2022,4,2022,2022,4,F02,Sodium Fluoride (25kg / bag),0.1,4800,480,April
Sungai Tengi,1/5/2022,5,2022,2022,5,A02,Kibbled Aluminium Sulphate (50kg / bag),0.65,1200,780,May
Sungai Tengi,1/2/2022,2,2022,2022,2,B04,Soda Ash (25kg / bag),1.35,1900,2565,February
Sungai Tengi,1/2/2022,2,2022,2022,2,C02,Liquid Chlorine (68kg / Cylinder),0.204,8400,1713.6,February
Sungai Tengi,1/2/2022,2,2022,2022,2,F02,Sodium Fluoride (25kg / bag),0.025,4800,120,February
Sungai Tengi,1/3/2022,3,2022,2022,3,A02,Kibbled Aluminium Sulphate (50kg / bag),0.65,1200,780,March
Sungai Tengi,1/3/2022,3,2022,2022,3,B04,Soda Ash (25kg / bag),1.25,1900,2375,March
Sungai Tengi,1/3/2022,3,2022,2022,3,C02,Liquid Chlorine (68kg / Cylinder),0.204,8400,1713.6,March
Kalumpang,1/1/2022,1,2022,2022,1,B04,Soda Ash (25kg / bag),0.95,1900,1805,January
Kalumpang,1/1/2022,1,2022,2022,1,C02,Liquid Chlorine (68kg / Cylinder),0.544,8400,4569.6,January
Kalumpang,1/1/2022,1,2022,2022,1,C03,Chloride of Lime Min 60% (50kg / drum),0.05,6000,300,January
Kalumpang,1/1/2022,1,2022,2022,1,F01,Sodium Silico Fluoride (25kg / bag),0.125,3600,450,January
Kalumpang,1/2/2022,2,2022,2022,2,A02,Kibbled Aluminium Sulphate (50kg / bag),0.35,1200,420,February
Kalumpang,1/2/2022,2,2022,2022,2,B04,Soda Ash (25kg / bag),1.025,1900,1947.5,February
Kalumpang,1/12/2022,12,2022,2022,12,C03,Chloride of Lime Min 60% (50kg / drum),0.05,6000,300,December
Kalumpang,1/11/2022,11,2022,2022,11,C03,Chloride of Lime Min 60% (50kg / drum),0.05,6000,300,November
Kalumpang,1/11/2022,11,2022,2022,11,F01,Sodium Silico Fluoride (25kg / bag),0.125,3600,450,November
Kalumpang,1/12/2022,12,2022,2022,12,B04,Soda Ash (25kg / bag),1.55,1900,2945,December
Kalumpang,1/12/2022,12,2022,2022,12,C02,Liquid Chlorine (68kg / Cylinder),0.544,8400,4569.6,December
Kalumpang,1/12/2022,12,2022,2022,12,A02,Kibbled Aluminium Sulphate (50kg / bag),0.5,1200,600,December
Kalumpang,1/12/2022,12,2022,2022,12,F01,Sodium Silico Fluoride (25kg / bag),0.1,3600,360,December
Kalumpang,1/10/2022,10,2022,2022,10,C02,Liquid Chlorine (68kg / Cylinder),0.68,8400,5712,October
Kalumpang,1/10/2022,10,2022,2022,10,C03,Chloride of Lime Min 60% (50kg / drum),0.05,6000,300,October
Kalumpang,1/10/2022,10,2022,2022,10,F01,Sodium Silico Fluoride (25kg / bag),0.125,3600,450,October
Kalumpang,1/11/2022,11,2022,2022,11,A02,Kibbled Aluminium Sulphate (50kg / bag),0.65,1200,780,November
Kalumpang,1/11/2022,11,2022,2022,11,B04,Soda Ash (25kg / bag),1.45,1900,2755,November
Kalumpang,1/11/2022,11,2022,2022,11,C02,Liquid Chlorine (68kg / Cylinder),0.68,8400,5712,November
Kalumpang,1/9/2022,9,2022,2022,9,B04,Soda Ash (25kg / bag),1.05,1900,1995,September
Kalumpang,1/9/2022,9,2022,2022,9,C02,Liquid Chlorine (68kg / Cylinder),0.544,8400,4569.6,September
Kalumpang,1/9/2022,9,2022,2022,9,C03,Chloride of Lime Min 60% (50kg / drum),0.05,6000,300,September
Kalumpang,1/9/2022,9,2022,2022,9,F01,Sodium Silico Fluoride (25kg / bag),0.125,3600,450,September
Kalumpang,1/10/2022,10,2022,2022,10,A02,Kibbled Aluminium Sulphate (50kg / bag),0.5,1200,600,October
Kalumpang,1/10/2022,10,2022,2022,10,B04,Soda Ash (25kg / bag),1.375,1900,2612.5,October
Kalumpang,1/7/2022,7,2022,2022,7,F01,Sodium Silico Fluoride (25kg / bag),0.125,3600,450,July
Kalumpang,1/8/2022,8,2022,2022,8,A02,Kibbled Aluminium Sulphate (50kg / bag),0.5,1200,600,August
Kalumpang,1/8/2022,8,2022,2022,8,B04,Soda Ash (25kg / bag),1.275,1900,2422.5,August
Kalumpang,1/8/2022,8,2022,2022,8,C02,Liquid Chlorine (68kg / Cylinder),0.68,8400,5712,August
Kalumpang,1/8/2022,8,2022,2022,8,C03,Chloride of Lime Min 60% (50kg / drum),0.1,6000,600,August
Kalumpang,1/8/2022,8,2022,2022,8,F01,Sodium Silico Fluoride (25kg / bag),0.15,3600,540,August
Kalumpang,1/6/2022,6,2022,2022,6,B04,Soda Ash (25kg / bag),1.15,1900,2185,June
Kalumpang,1/6/2022,6,2022,2022,6,C02,Liquid Chlorine (68kg / Cylinder),0.544,8400,4569.6,June
Kalumpang,1/6/2022,6,2022,2022,6,C03,Chloride of Lime Min 60% (50kg / drum),0.05,6000,300,June
