Month,WTP (Water Treatment Plant),wtp,Liquid Aluminium Sulphate (Bulk),Kibbled Aluminium Sulphate (50kg / bag),Modified Liquid Alum (Bulk),Hydrated Lime (powder) (Bulk),Hydrated Lime (25kg / bag),Hydrated Lime (1000kg / bag),Liquid Chlorine (930kg / drum),Liquid Chlorine (68kg / Cylinder),Liquid Polyaluminium Chloride (Bulk),Liquid Polyaluminium Chloride (25kg / carboy),Flopam FO 4290 PWG (25kg / bag),Flopam FO 4190 PWG (25kg / bag),Flopam FA 920 PWG (25kg / bag),Flopam AH 912 PWG (25kg / bag),Flopam FL 4520 PWG (210kg / drum),Superfloc C 591 PWG (210kg / drum),Superfloc N300 PWG (25kg / drum),Sodium Silico Fluoride,Sodium Fluoride,Microsand (1000kg / bag),Aluminium Chlorohydrate (bulk),Potassium Permanganate (50kg / drum),Soda Ash (25kg / bag),Chloride of Lime (50kg / drum),Sodium Hypochlorite (25kg / carboy),Sodium Aluminosilicate (25kg / bag),Sodium Aluminosilicate (500kg / bag OR 100kg /bag),Sodium Hydroxide (Min 48%) (Bulk OR 25kg / carboy),Sodium Hydroxide (Min 10% - 15%) (Bulk OR 25kg / carboy),Sodium Meta Bisulphite (25kg / carboy),Citric Acid (25kg / carboy),Oxalic Acid (25kg / bag),Activated Carbon (25kg / bag),Activated Carbon (500kg / 1000kg per bag),Snowflake GHMW PWG (25kg/bag),Snowflake ROO PWG (500kg/bag),Flopam AN934 PWG (25kg/bag),Flopam AH 912 PWG (25kg / bag),Polymer Tianfloc C3080,Polymer C8030
Feb,Batang Kali,Batang Kali,0,5,0,0,0,0,0,0.816,0,0,0,0,0,0,0,0,0,0.275,0,0,0,0,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feb,Sungai Dusun,Sungai Dusun,0,0.35,0,0,0,0,0,0.136,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0.009,0,0,0,0,0
Feb,Sungai Selisek,Sungai Selisek,0,0.55,0,0,0,0,0,0.204,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00104,0,0,0,0,0
Feb,Sungai Tengi,Sungai Tengi,0,0.6,0,0,0,0,0,0.204,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.825,0,0,0,0,0,0,0,0,0,0,0,0.009,0,0,0,0,0
Feb,Kalumpang,Kalumpang,0,0.3,0,0,0,0,0,0.544,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0.875,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feb,Kuala Kubu Bharu,Kuala Kubu Bharu,0,0.4,0,0,0,0,0,0.476,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,1.55,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feb,North Hummock,North Hummock,0,0,0,0,12,0,0,4.08,16.658,0,0,0,0,0,0,0,0,0.35,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0.075,0,0,0,0,0,0,0,0
Feb,Rantau Panjang,Rantau Panjang New,0,0,0,0,3.05,0,0,2.992,17.96,0,0,0,0,0,0,0,0,0.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0
Feb,Sungai Sireh,Sungai Sireh,0,0,0,0,7,0,2.79,0,0,0,0,0,0,0.2,0,2.1,0,0.375,0,0,29.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feb,Bukit Nanas,Bukit Nanas,37.75,0,0,28,0,0,13.02,0,0,0,0,0,0,0,0,0,0,2.3,0,0,0,0,0,0.45,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0
Feb,Sungai Batu,Sungai Batu,127.327,0,0,22.76,0,0,11.16,0,0,0,0,0,0,0,0,0,0,2.75,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feb,Ampang Intake,Ampang Intake,0,10.4,0,0,1.2,0,0,1.05,0,0,0,0,0,0,0,0,0,0.225,0,0,0,0,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feb,Sungai Rangkap,Sungai Rangkap,0,0,0,0,0.93,0,0,0.82,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feb,Sungai Gombak,Sungai Gombak,0,6.5,0,0,3.675,0,0,2.38,0,0,0,0,0.05,0,0,0,0,0.675,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0
Feb,Kepong,Kepong,0,0,0,0,0,0,0,0.068,0,0,0,0,0,0,0,0,0,0,0.025,0,0,0,0.3,0,0.075,0,0,0,0.025,0.025,0.025,0,0,0,0,0,0,0,0,0
Feb,Sungai Rumput,Sungai Rumput,0,0,0,0,0,0,0,0.068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075,0,0.025,0,0,0,0,0.025,0.1,0,0,0,0,0,0,0,0,0
Feb,Wangsa Maju,Wangsa Maju,29.166,0,0,8.265,0,0,5.165,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0
Feb,SSP1,Sungai Selangor Fasa 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feb,SSP2,Sungai Selangor Fasa 2 Stream C,895.73,0,0,352.203,0,0,232.052,0,0,0,10.051,0,0,0,0,0,0,22.346,0,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feb,SSP3,Sungai Selangor Fasa 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feb,Rasa,Rasa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feb,Sungai Semenyih,Sungai Semenyih,533.68,0,0,253.72,0,0,102.3,0,0,0,0,0,0,0,0.84,0,0,12.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.72,0,0,0,0
Feb,Sungai Labu,Sungai Labu,0,0,0,0,0,6.157,11.235,0,37.699,0,0,0.1,0,0,0,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Feb,Semenyih 2,Semenyih 2,0,0,0,9.54,0,0,16.294,0,133.9,0,0,0,0,0,0,0,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0
Feb,Bukit Tampoi,Bukit Tampoi New,0,0,0,0,7.025,0,0,2.448,16.387,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0.425,0,0,2.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feb,Salak Tinggi,Salak Tinggi,0,3.6,0,0,1.7,0,0,0.816,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feb,Labohan Dagang,Labohan Dagang,144.9,0,0,0,0,0,12.09,0,0,0,0.15,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1,0,0,0,0.275,0,0,0
Feb,Sungai Langat,Sungai Langat,357.174,0,0,68.094,0,0,33.48,0,0,0,0,0,0,0,0,0,0,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35,0,0,0,0,0
Feb,Cheras Mile 11,Cheras Batu 11,0,0,35.67,0,8,0,0,3.128,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0
Feb,Sungai Serai,Sungai Serai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feb,Sungai Pangsoon,Sungai Pangsoon,0,0,0,0,0,0,0,0.272,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feb,Sungai Lolo,Sungai Lolo - Baru,0,0,0,0,0,0,0,0.816,0,0,0,0,0,0,0,0,0,0,0.175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feb,Langat 2,Langat 2,0,0,0,82.8,0,0,38.1,0,431.1,0,0,0,0,0.354,0,0,0,7.222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.875,0
Mar,"Bernam River Headworks
(Old & New)",Bernam River Headworks (New),59.747,0,0,5.6,13.175,0,0,9.002,0,0,0,0,0.286,0,0,0,0,1.275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mar,Batang Kali,Batang Kali,0,3,0,0,0,0,0,1.088,0,0,0,0,0.025,0,0,0,0,0.225,0,0,0,0,7.075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mar,Sungai Dusun,Sungai Dusun,0,0.8,0,0,0,0,0,0.204,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0.009,0,0,0,0,0
Mar,Sungai Selisek,Sungai Selisek,0,0.85,0,0,0,0,0,0.136,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,1.55,0,0,0,0,0,0,0,0,0,0,0,0.00416,0,0,0,0,0
Mar,Sungai Tengi,Sungai Tengi,0,0.85,0,0,0,0,0,0.204,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,1.225,0,0,0,0,0,0,0,0,0,0,0,0.009,0,0,0,0,0
Mar,Kalumpang,Kalumpang,0,0,0,0,0,0,0,0.408,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mar,Kuala Kubu Bharu,Kuala Kubu Bharu,0,0.2,0,0,0,0,0,0.544,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,1.525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mar,North Hummock,North Hummock,0,0,0,0,8.55,0,0,3.264,23.551,0,0,0,0,0,0,0,0,0.45,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0
Mar,Rantau Panjang,Rantau Panjang New,0,0,0,0,5.725,0,0,4.692,26.468,0,0,0,0,0,0,0,0,0.875,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0
Mar,Sungai Sireh,Sungai Sireh,0,0,0,0,3.5,0,1.86,0,0,0,0,0,0,0.175,0,0,0,0,0,0,13.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mar,Bukit Nanas,Bukit Nanas,101.76,0,0,32.6,0,0,19.53,0,0,0,0,0,0,0,0,0,0,2.4,0,0,0,0,0,0.45,0,0,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0
Mar,Sungai Batu,Sungai Batu,141.298,0,0,23.99,0,0,11.16,0,0,0,0,0,0,0,0,0,0,2.95,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mar,Ampang Intake,Ampang Intake,0,11.7,0,0,1.2,0,0,1.02,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mar,Sungai Rangkap,Sungai Rangkap,0,0.45,0,0,1.03,0,0,1.02,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mar,Sungai Gombak,Sungai Gombak,0,7.5,0,0,4.025,0,0,2.72,0,0,0,0,0.075,0,0,0,0,0.775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025,0,0,0.025,0,0
Mar,Kepong,Kepong,0,0,0,0,0,0,0,0.136,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0.35,0,0.125,0,0,0,0.05,0.1,0.05,0,0,0,0,0,0,0,0,0
Mar,Sungai Rumput,Sungai Rumput,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025,0,0,0,0.05,0,0.125,0,0,0,0.075,0.025,0,0,0,0,0,0,0,0,0,0
Mar,Wangsa Maju,Wangsa Maju,32.348,0,0,7.402,0,0,5.895,0,0,0,0,0,0,0,0,0,0,0.825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0
Mar,SSP1,Sungai Selangor Fasa 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mar,SSP2,Sungai Selangor Fasa 2 Stream C,1017.83,0,0,385.53,0,0,262.522,0,0,0,11.878,0,0,0,0,0,0,24.207,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mar,SSP3,Sungai Selangor Fasa 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mar,Rasa,Rasa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mar,Sungai Semenyih,Sungai Semenyih,665.63,0,0,312.9,0,0,111.6,0,0,0,0,0,0,0,0.84,0,0,12.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.102,0,0,0,0
Mar,Sungai Labu,Sungai Labu,0,0,0,0,0,8.738,14.517,0,42.062,0,0,0.125,0,0,0,0,0,1.085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.186,0,0,0
Mar,Semenyih 2,Semenyih 2,0,0,0,10.21,0,0,20.417,0,123.007,0,0,0,0,0,0,0,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075,0,0,0
Mar,Bukit Tampoi,Bukit Tampoi New,0,0,0,0,9.25,0,0,3.332,27.013,0,0,0,0,0,0,0,0,0.225,0,0,0,0,1.725,0,0,7.475,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mar,Salak Tinggi,Salak Tinggi,0,3.6,0,0,1.45,0,0,1.088,0,0,0,0,0,0,0,0,0,0.075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mar,Labohan Dagang,Labohan Dagang,141.36,0,0,0,0,0,9.3,0,0,0,0.125,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8,0,0,0,0.175,0,0,0
Mar,Sungai Langat,Sungai Langat,551.93,0,0,109.446,0,0,66.96,0,0,0,0,0,0,0,0,0,0,7.4,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0
Mar,Cheras Mile 11,Cheras Batu 11,0,0,52.64,0,11.25,0,0,4.08,0,0,0,0,0,0,0,0,0,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075,0,0,0,0,0
Mar,Sungai Serai,Sungai Serai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mar,Sungai Pangsoon,Sungai Pangsoon,0,0,0,0,0,0,0,0.408,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mar,Sungai Lolo,Sungai Lolo - Baru,0,0,0,0,0,0,0,0.816,0,0,0,0,0,0,0,0,0,0,0.225,0,0,0,0.075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mar,Langat 2,Langat 2,0,0,0,68.7,0,0,33.632,0,351.7,0,0,0,0,0.418,0,0,0,5.763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.625,0
Apr,"Bernam River Headworks
(Old & New)",Bernam River Headworks (New),46.856,0,0,6.4,13.5,0,0,8.092,0,0,0,0,0.8,0,0,0,0,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0
Apr,Batang Kali,Batang Kali,0,6,0,0,0,0,0,0.816,0,0,0,0,0.025,0,0,0,0,0.35,0,0,0,0,8.35,0,0,0,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0
