wtp,Date,Liquid Polyaluminium Chloride (mg/L) _avg,Raw Water Polyelectrolyte 4290 PWG / 4190 PWG / AN910 (mg/L) _avg,Hydrated Lime (Post) (mg/L) _avg,Liquid Chlorine (Post) (mg/L) _avg,Sodium Silico Fluoride (mg/L) _avg,Liquid Chlorine (Pre) (mg/L) _avg,Hydrated Lime (Pre) (mg/L) _avg
Sungai Selangor Fasa 1,24/3/2021,26.01681696,0.046925516,11.82523283,4.740398367,0.801021989,1.152593041,
Sungai Selangor Fasa 1,25/3/2021,24.31479539,0.048473647,11.19102502,4.998415699,0.660915189,1.377327705,
Sungai Selangor Fasa 1,26/3/2021,26.27598938,0.050247741,13.66729159,4.590295455,0.853579414,1.429475235,
Sungai Selangor Fasa 1,27/3/2021,30.52853695,0.0689426,10.42102902,5.036336704,0.804900027,1.291449639,
Sungai Selangor Fasa 1,28/3/2021,31.63419703,0.070687139,15.4985003,5.031152889,0.73060603,1.281340413,
Sungai Selangor Fasa 1,29/3/2021,30.86079855,0.05,10.65054009,4.817605355,0.649337897,1.234431942,
Sungai Selangor Fasa 1,30/3/2021,34.09742417,0.047349525,11.92139465,4.827740609,0.744730066,1.406263475,
Sungai Selangor Fasa 1,31/3/2021,31.09558903,0.04831876,12.47911617,4.507716771,0.78311453,1.265320329,
Sungai Selangor Fasa 1,1/4/2021,32.44065198,0.048790007,8.360113266,4.823468556,0.799984717,1.40515219,
Sungai Selangor Fasa 1,2/4/2021,27.91900442,0.047984269,11.50652714,4.749306268,0.681419582,1.381946944,
Sungai Selangor Fasa 1,3/4/2021,38.06742654,0.069856325,12.02294774,4.814913795,0.678738934,1.411160747,
Sungai Selangor Fasa 1,4/4/2021,23.61474113,0.051269113,7.078641837,4.795211497,0.740824694,1.397641175,
Sungai Selangor Fasa 1,5/4/2021,29.77585612,0.049334597,7.656943741,4.507459648,0.822313315,1.302433372,
Sungai Selangor Fasa 1,6/4/2021,24.3432468,0.06942794,6.673528634,4.3975568,0.68052561,1.370600455,
Sungai Selangor Fasa 1,7/4/2021,33.14574015,0.05,11.43173775,3.371582517,0.752899012,1.418127832,
Sungai Selangor Fasa 1,8/4/2021,30.29132931,0.047552789,11.65221723,4.96482124,0.803339857,1.369520335,
Sungai Selangor Fasa 1,9/4/2021,27.49285967,0.048748727,12.11947613,5.089115982,0.812945727,1.403963337,
Sungai Selangor Fasa 1,10/4/2021,27.81838618,0.069300164,13.18402097,4.761276887,0.745187539,1.183615709,
Sungai Selangor Fasa 1,11/4/2021,29.24414004,0.05116475,12.83649469,5.139172706,0.740884176,1.169765602,
Sungai Selangor Fasa 1,12/4/2021,32.02586326,0.049719952,6.231682976,5.915395474,0.691547997,1.19327886,
Sungai Selangor Fasa 1,13/4/2021,39.6644058,0.047723761,9.776053494,5.519024592,0.689480208,1.211178774,
Sungai Selangor Fasa 1,14/4/2021,42.10108354,0.050979262,13.69825594,5.314610218,0.763887454,1.152506727,
Sungai Selangor Fasa 1,15/4/2021,46.48236288,0.048584471,12.70728099,5.383944924,0.746701713,1.166027296,
Sungai Selangor Fasa 1,16/4/2021,37.15152617,0.047607331,13.2120417,5.260905435,0.729547628,1.17210989,
Sungai Selangor Fasa 1,17/4/2021,38.46074746,0.069630823,12.62456208,5.673841087,0.481976327,1.158174144,
Sungai Selangor Fasa 1,18/4/2021,46.3317274,0.047081958,9.258574186,5.363812522,0.752312095,1.158293185,
Sungai Selangor Fasa 1,19/4/2021,43.62881495,0.047170157,11.33428581,5.063460464,0.674712649,1.161277075,
Sungai Selangor Fasa 1,20/4/2021,37.810894,0.047331956,9.052221686,5.361615681,0.731264293,1.165819444,
Sungai Selangor Fasa 1,21/4/2021,38.27132271,0.09603621,10.70088751,5.532265232,0.688763771,1.400100782,
Sungai Selangor Fasa 1,22/4/2021,37.57455047,0.05,9.012011576,5.221001018,0.639068016,1.42495536,
Sungai Selangor Fasa 1,23/4/2021,36.40950007,0.048666748,9.872478251,5.100105135,0.799990515,1.420615455,
Sungai Selangor Fasa 1,24/4/2021,31.43521988,0.048871201,9.853957514,5.419910115,0.748040815,1.426408717,
Sungai Selangor Fasa 1,25/4/2021,31.37175178,0.047410872,13.11794315,5.54473044,0.779936617,1.423578105,
Sungai Selangor Fasa 1,26/4/2021,33.58259296,0.074075308,11.74918951,5.627220821,0.750467222,1.361983624,
Sungai Selangor Fasa 1,27/4/2021,36.53939454,0.051014785,14.01203448,5.32537721,0.804627266,1.278746584,
Sungai Selangor Fasa 1,28/4/2021,32.53699506,0.047131571,8.732126694,5.717710439,0.798812178,1.278259579,
Sungai Selangor Fasa 1,29/4/2021,30.7482637,0.048044162,10.91121991,5.576643491,0.83038867,1.277606332,
Sungai Selangor Fasa 1,30/4/2021,41.40660638,0.070376589,13.21589079,5.658699011,0.759734556,1.070858722,
Sungai Selangor Fasa 1,1/5/2021,43.43670713,0.077800541,11.7203979,5.279208921,0.845818574,1.287400896,
Sungai Selangor Fasa 1,2/5/2021,29.50062378,0.047595765,10.89387595,5.639448957,0.867888613,1.299751391,
Sungai Selangor Fasa 1,3/5/2021,30.78902141,0.047276795,11.67928573,5.538905059,0.759309654,1.293200567,
Sungai Selangor Fasa 1,4/5/2021,38.07652493,0.048719563,13.15876708,5.933940456,0.786284077,1.29522837,
Sungai Selangor Fasa 1,5/5/2021,44.95485237,0.04886397,12.30866196,5.698141448,0.783896393,1.299773179,
Sungai Selangor Fasa 1,6/5/2021,46.62029489,0.05,9.789641138,4.703086929,0.784438638,1.296218243,
Sungai Selangor Fasa 1,7/5/2021,44.74334473,0.049620323,11.87429149,3.520855997,0.68546412,1.320183041,
Sungai Selangor Fasa 1,8/5/2021,38.29687834,0.049601716,10.19534246,5.579218965,0.689082471,1.318904326,
Sungai Selangor Fasa 1,9/5/2021,42.23373782,0.047559023,11.33814938,5.575847936,0.796655224,1.321153791,
Sungai Selangor Fasa 1,10/5/2021,38.56057952,0.04710965,9.652526173,5.101676518,0.733137632,1.289475284,
Sungai Selangor Fasa 1,11/5/2021,48.05580996,0.073279648,10.05490775,5.23319497,0.762974276,1.325712234,
Sungai Selangor Fasa 1,12/5/2021,32.5699544,0.050044524,12.20283839,5.078600202,0.780583964,1.332004612,
Sungai Selangor Fasa 1,13/5/2021,39.66926722,0.052495854,13.28828783,5.002422325,0.725825745,1.447204087,
Sungai Selangor Fasa 1,14/5/2021,32.59314474,0.022381579,12.42423827,4.92941334,0.863784989,1.404737453,
Sungai Selangor Fasa 1,15/5/2021,27.5752343,0.050350786,14.27006865,5.365267488,0.776648974,1.338520182,
Sungai Selangor Fasa 1,16/5/2021,33.92345784,0.049627558,12.72362489,5.375185825,0.905323131,1.32077064,
Sungai Selangor Fasa 1,17/5/2021,44.25626649,0.047174758,8.148303473,5.604178043,0.565182466,1.289274479,
