Month,WTP (Water Treatment Plant),wtp,Liquid Aluminium Sulphate (Bulk),Kibbled Aluminium Sulphate (50kg / bag),Modified Liquid Alum (Bulk),Hydrated Lime (powder) (Bulk),Hydrated Lime (25kg / bag),Hydrated Lime (1000kg / bag),Liquid Chlorine (930kg / drum),Liquid Chlorine (68kg / Cylinder),Liquid Polyaluminium Chloride (Bulk),Liquid Polyaluminium Chloride (25kg / carboy),Flopam FO 4290 PWG (25kg / bag),Flopam FO 4190 PWG (25kg / bag),Flopam FA 920 PWG (25kg / bag),Flopam AH 912 PWG (25kg / bag),Flopam FL 4520 PWG (210kg / drum),Superfloc C 591 PWG (210kg / drum),Superfloc N300 PWG (25kg / drum),Sodium Silico Fluoride,Sodium Fluoride,Microsand (1000kg / bag),Aluminium Chlorohydrate (bulk),Potassium Permanganate (50kg / drum),Soda Ash (25kg / bag),Chloride of Lime (50kg / drum),Sodium Hypochlorite (25kg / carboy),Sodium Aluminosilicate (25kg / bag),Sodium Aluminosilicate (500kg / bag OR 100kg /bag),Sodium Hydroxide (Min 48%) (Bulk OR 25kg / carboy),Sodium Hydroxide (Min 10% - 15%) (Bulk OR 25kg / carboy),Sodium Meta Bisulphite (25kg / carboy),Citric Acid (25kg / carboy),Oxalic Acid (25kg / bag),Activated Carbon (25kg / bag),Activated Carbon (500kg / 1000kg per bag),Snowflake GHMW PWG (25kg/bag),Snowflake ROO PWG (500kg/bag),Flopam AN934 PWG (25kg/bag),Flopam AH 912 PWG (25kg / bag),Polymer Tianfloc C3080,Polymer C8030
Feb,Kuala Kubu Bharu,Kuala Kubu Bharu,0,392,0,0,0,0,0,4046,0,0,0,0,0,0,0,0,0,480,0,0,0,0,2790,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feb,North Hummock,North Hummock,0,0,0,0,5100,0,0,34680,10994.28,0,0,0,0,0,0,0,0,1120,0,0,0,0,0,750,0,0,0,0,0,0,0,487.5,0,0,0,0,0,0,0,0
Feb,Rantau Panjang,Rantau Panjang New,0,0,0,0,1296.25,0,0,25432,11853.6,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,890,0,0,0,0,0
Feb,Sungai Sireh,Sungai Sireh,0,0,0,0,2975,0,5859,0,0,0,0,0,0,2800,0,13335,0,1200,0,0,68862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feb,Bukit Nanas,Bukit Nanas,14345,0,0,10500,0,0,27342,0,0,0,0,0,0,0,0,0,0,7360,0,0,0,0,0,2250,0,0,0,0,0,0,0,0,0,0,890,0,0,0,0,0
Feb,Sungai Batu,Sungai Batu,48384.26,0,0,8535,0,0,23436,0,0,0,0,0,0,0,0,0,0,8800,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feb,Ampang Intake,Ampang Intake,0,10192,0,0,510,0,0,8925,0,0,0,0,0,0,0,0,0,720,0,0,0,0,11880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feb,Sungai Rangkap,Sungai Rangkap,0,0,0,0,395.25,0,0,6970,0,0,0,0,0,0,0,0,0,448,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feb,Sungai Gombak,Sungai Gombak,0,6370,0,0,1561.875,0,0,20230,0,0,0,0,700,0,0,0,0,2160,0,0,0,0,0,750,0,0,0,0,0,0,0,0,0,0,890,0,0,0,0,0
Feb,Kepong,Kepong,0,0,0,0,0,0,0,578,0,0,0,0,0,0,0,0,0,0,112.5,0,0,0,540,0,135,0,0,0,37.5,55,162.5,0,0,0,0,0,0,0,0,0
Feb,Sungai Rumput,Sungai Rumput,0,0,0,0,0,0,0,578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,0,45,0,0,0,0,55,650,0,0,0,0,0,0,0,0,0
Feb,Wangsa Maju,Wangsa Maju,11083.08,0,0,3099.375,0,0,10846.5,0,0,0,0,0,0,0,0,0,0,2240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700,0,0
Feb,SSP1,Sungai Selangor Fasa 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feb,SSP2,Sungai Selangor Fasa 2 Stream C,340377.4,0,0,132076.125,0,0,487309.2,0,0,0,160816,0,0,0,0,0,0,71507.2,0,76700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feb,SSP3,Sungai Selangor Fasa 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feb,Rasa,Rasa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feb,Sungai Semenyih,Sungai Semenyih,202798.4,0,0,95145,0,0,214830,0,0,0,0,0,0,0,3780,0,0,39168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23220,0,0,0,0
Feb,Sungai Labu,Sungai Labu,0,0,0,0,0,2524.37,23593.5,0,24881.34,0,0,1600,0,0,0,0,0,3520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1400,0,0,0
