,wtp,Date,Activated Carbon _avg,Aluminium Chlorohydrate _avg,Flopam AH 912 PWG _avg,Flopam FA 920 PWG _avg,Flopam FL 4520 PWG _avg,Flopam FO 4190 PWG _avg,Flopam FO 4290 PWG _avg,Hydrated Lime _avg,Hydrated Lime (Intermediate) _avg,Hydrated Lime (Post) _avg,Hydrated Lime (Powder) _avg,Hydrated Lime (Powder) (Intermediate) _avg,Hydrated Lime (Powder) (Post) _avg,Hydrated Lime (Powder) (Pre) _avg,Hydrated Lime (Pre) _avg,Kibbled Aluminium Sulphate _avg,Liquid Aluminium Sulphate _avg,Liquid Chlorine _avg,Liquid Chlorine (Intermediate) _avg,Liquid Chlorine (Post) _avg,Liquid Chlorine (Pre) _avg,Liquid Polyaluminium Chloride _avg,Microsand _avg,Modified Liquid Alum _avg,Polyelectrolyte AN 910 PWG _avg,Polymer Tianfloc C3080 _avg,Potassium Permanganate _avg,Soda Ash _avg,Soda Ash (Post) _avg,Soda Ash (Pre) _avg,Sodium Aluminosilicate _avg,Sodium Fluoride _avg,Sodium Hypochlorite _avg,Sodium Silico Fluoride _avg,Superfloc C 591 PWG _avg,Activated Carbon _max,Aluminium Chlorohydrate _max,Flopam AH 912 PWG _max,Flopam FA 920 PWG _max,Flopam FL 4520 PWG _max,Flopam FO 4190 PWG _max,Flopam FO 4290 PWG _max,Hydrated Lime _max,Hydrated Lime (Intermediate) _max,Hydrated Lime (Post) _max,Hydrated Lime (Powder) _max,Hydrated Lime (Powder) (Intermediate) _max,Hydrated Lime (Powder) (Post) _max,Hydrated Lime (Powder) (Pre) _max,Hydrated Lime (Pre) _max,Kibbled Aluminium Sulphate _max,Liquid Aluminium Sulphate _max,Liquid Chlorine _max,Liquid Chlorine (Intermediate) _max,Liquid Chlorine (Post) _max,Liquid Chlorine (Pre) _max,Liquid Polyaluminium Chloride _max,Microsand _max,Modified Liquid Alum _max,Polyelectrolyte AN 910 PWG _max,Polymer Tianfloc C3080 _max,Potassium Permanganate _max,Soda Ash _max,Soda Ash (Post) _max,Soda Ash (Pre) _max,Sodium Aluminosilicate _max,Sodium Fluoride _max,Sodium Hypochlorite _max,Sodium Silico Fluoride _max,Superfloc C 591 PWG _max,Activated Carbon _min,Aluminium Chlorohydrate _min,Flopam AH 912 PWG _min,Flopam FA 920 PWG _min,Flopam FL 4520 PWG _min,Flopam FO 4190 PWG _min,Flopam FO 4290 PWG _min,Hydrated Lime _min,Hydrated Lime (Intermediate) _min,Hydrated Lime (Post) _min,Hydrated Lime (Powder) _min,Hydrated Lime (Powder) (Intermediate) _min,Hydrated Lime (Powder) (Post) _min,Hydrated Lime (Powder) (Pre) _min,Hydrated Lime (Pre) _min,Kibbled Aluminium Sulphate _min,Liquid Aluminium Sulphate _min,Liquid Chlorine _min,Liquid Chlorine (Intermediate) _min,Liquid Chlorine (Post) _min,Liquid Chlorine (Pre) _min,Liquid Polyaluminium Chloride _min,Microsand _min,Modified Liquid Alum _min,Polyelectrolyte AN 910 PWG _min,Polymer Tianfloc C3080 _min,Potassium Permanganate _min,Soda Ash _min,Soda Ash (Post) _min,Soda Ash (Pre) _min,Sodium Aluminosilicate _min,Sodium Fluoride _min,Sodium Hypochlorite _min,Sodium Silico Fluoride _min,Superfloc C 591 PWG _min
10,Ampang Intake,1/8/2022,,,,,,,,1.22,,,,,,,,6.11,,1.35,,,,,,,,,,4.64,,,,,,0.27,,,,,,,,,1.47,,,,,,,,7.59,,1.85,,,,,,,,,,5.31,,,,,,0.35,,,,,,,,,0.93,,,,,,,,5.41,,0.7,,,,,,,,,,4.03,,,,,,0.11,
11,Ampang Intake,1/9/2022,,,,,,,,1.15,,,,,,,,8.35,,1.38,,,,,,,,,,5.07,,,,,,0.29,,,,,,,,,1.44,,,,,,,,11.71,,1.94,,,,,,,,,,7.37,,,,,,0.4,,,,,,,,,0.6,,,,,,,,5.66,,0.74,,,,,,,,,,3.84,,,,,,0.12,
12,Ampang Intake,10/1/2022,,,,,,,,1.49,,,,,,,,8.67,,1.72,,,,,,,,,,7.63,,,,,,0.32,,,,,,,,,2.02,,,,,,,,11.16,,2.73,,,,,,,,,,9.83,,,,,,0.48,,,,,,,,,1.18,,,,,,,,7.4,,1.02,,,,,,,,,,6.52,,,,,,0.16,
13,Ampang Intake,10/10/2022,,,,,,,,1.07,,,,,,,,4.65,,1.29,,,,,,,,,,3.74,,,,,,0.25,,,,,,,,,1.28,,,,,,,,4.78,,1.61,,,,,,,,,,3.9,,,,,,0.3,,,,,,,,,0.99,,,,,,,,4.51,,0.66,,,,,,,,,,3.58,,,,,,0.11,
14,Ampang Intake,10/11/2022,,,,,,,,1.19,,,,,,,,5.06,,1.24,,,,,,,,,,3.63,,,,,,0.21,,,,,,,,,1.32,,,,,,,,6.2,,1.54,,,,,,,,,,3.83,,,,,,0.29,,,,,,,,,0.93,,,,,,,,4.72,,0.63,,,,,,,,,,3.38,,,,,,0.1,
15,Ampang Intake,10/12/2022,,,,,,,,1.08,,,,,,,,6.11,,1.43,,,,,,,,,,5.16,,,,,,0.26,,,,,,,,,1.41,,,,,,,,13.8,,1.83,,,,,,,,,,10.6,,,,,,0.33,,,,,,,,,0.8,,,,,,,,4.67,,0.72,,,,,,,,,,3.89,,,,,,0.12,
16,Ampang Intake,10/2/2022,,,,,,,,1.59,,,,,,,,7.94,,1.73,,,,,,,,,,6.85,,,,,,0.34,,,,,,,,,2.37,,,,,,,,11.5,,2.99,,,,,,,,,,9.21,,,,,,0.53,,,,,,,,,1.19,,,,,,,,5.88,,0.65,,,,,,,,,,4.7,,,,,,0.16,
17,Ampang Intake,10/3/2022,,,,,,,,1.49,,,,,,,,12.75,,1.6,,,,,,,,,,8.21,,,,,,0.29,,,,,,,,,1.68,,,,,,,,18.6,,2.12,,,,,,,,,,11.42,,,,,,0.38,,,,,,,,,1.18,,,,,,,,9.05,,1.01,,,,,,,,,,5.73,,,,,,0.16,
18,Ampang Intake,10/4/2022,,,,,,,,1.49,,,,,,,,13.42,,1.65,,,,,,,,,,7.43,,,,,,0.37,,,,,,,,,1.99,,,,,,,,23.55,,2.68,,,,,,,,,,12.05,,,,,,0.56,,,,,,,,,0.91,,,,,,,,8.82,,0.55,,,,,,,,,,5.44,,,,,,0.18,
19,Ampang Intake,10/5/2022,,,,,,,,1.22,,,,,,,,6.98,,1.33,,,,,,,,,,4.89,,,,,,0.27,,,,,,,,,1.42,,,,,,,,7.65,,1.68,,,,,,,,,,5.36,,,,,,0.35,,,,,,,,,0.59,,,,,,,,6.74,,0.53,,,,,,,,,,4.72,,,,,,0.13,
20,Ampang Intake,10/6/2022,,,,,,,,1.22,,,,,,,,6.36,,1.39,,,,,,,,,,4.99,,,,,,0.27,,,,,,,,,1.38,,,,,,,,7.62,,1.74,,,,,,,,,,5.37,,,,,,0.34,,,,,,,,,0.97,,,,,,,,4.73,,0.73,,,,,,,,,,4.55,,,,,,0.12,
21,Ampang Intake,10/7/2022,,,,,,,,1.18,,,,,,,,5.01,,1.33,,,,,,,,,,4.34,,,,,,0.19,,,,,,,,,1.37,,,,,,,,5.64,,1.63,,,,,,,,,,4.65,,,,,,0.26,,,,,,,,,0.93,,,,,,,,4.84,,0.71,,,,,,,,,,3.78,,,,,,0.11,
22,Ampang Intake,10/8/2022,,,,,,,,1.16,,,,,,,,5.25,,1.42,,,,,,,,,,3.96,,,,,,0.28,,,,,,,,,1.37,,,,,,,,6.2,,1.76,,,,,,,,,,4.74,,,,,,0.33,,,,,,,,,0.91,,,,,,,,4.64,,0.72,,,,,,,,,,3.79,,,,,,0.17,
23,Ampang Intake,10/9/2022,,,,,,,,1.19,,,,,,,,5,,1.48,,,,,,,,,,4.12,,,,,,0.29,,,,,,,,,1.48,,,,,,,,5.85,,1.76,,,,,,,,,,4.74,,,,,,0.32,,,,,,,,,1.06,,,,,,,,4.66,,0.81,,,,,,,,,,3.84,,,,,,0.2,
24,Ampang Intake,11/1/2022,,,,,,,,1.37,,,,,,,,8.17,,1.44,,,,,,,,,,6.47,,,,,,0.3,,,,,,,,,1.67,,,,,,,,8.68,,1.93,,,,,,,,,,6.83,,,,,,0.38,,,,,,,,,1.15,,,,,,,,7.6,,0.93,,,,,,,,,,5.97,,,,,,0.14,
25,Ampang Intake,11/10/2022,,,,,,,,1.12,,,,,,,,5.43,,1.45,,,,,,,,,,4.2,,,,,,0.26,,,,,,,,,1.4,,,,,,,,6.75,,1.76,,,,,,,,,,4.74,,,,,,0.31,,,,,,,,,1.03,,,,,,,,4.56,,0.74,,,,,,,,,,3.74,,,,,,0.12,
26,Ampang Intake,11/11/2022,,,,,,,,1.15,,,,,,,,5.44,,1.19,,,,,,,,,,3.58,,,,,,0.23,,,,,,,,,1.28,,,,,,,,8.17,,1.59,,,,,,,,,,3.72,,,,,,0.29,,,,,,,,,0.94,,,,,,,,4.4,,0.63,,,,,,,,,,3.42,,,,,,0.1,
27,Ampang Intake,11/12/2022,,,,,,,,1.11,,,,,,,,5.85,,1.38,,,,,,,,,,4.91,,,,,,0.25,,,,,,,,,1.36,,,,,,,,9.35,,1.83,,,,,,,,,,7.41,,,,,,0.32,,,,,,,,,1,,,,,,,,4.64,,0.8,,,,,,,,,,3.83,,,,,,0.13,
28,Ampang Intake,11/2/2022,,,,,,,,1.56,,,,,,,,9.04,,1.72,,,,,,,,,,7.29,,,,,,0.33,,,,,,,,,2.12,,,,,,,,13.06,,2.67,,,,,,,,,,10.27,,,,,,0.47,,,,,,,,,1.18,,,,,,,,6.71,,0.62,,,,,,,,,,5.55,,,,,,0.15,
29,Ampang Intake,11/3/2022,,,,,,,,1.47,,,,,,,,10.88,,17.35,,,,,,,,,,6.72,,,,,,0.3,,,,,,,,,1.77,,,,,,,,16.66,,191,,,,,,,,,,9.36,,,,,,0.4,,,,,,,,,1.09,,,,,,,,9.16,,0.87,,,,,,,,,,5.76,,,,,,0.14,
30,Ampang Intake,11/4/2022,,,,,,,,1.36,,,,,,,,8.59,,1.41,,,,,,,,,,5.81,,,,,,0.29,,,,,,,,,1.68,,,,,,,,10.18,,1.81,,,,,,,,,,6.52,,,,,,0.41,,,,,,,,,0.78,,,,,,,,5.47,,0.47,,,,,,,,,,4.41,,,,,,0.11,
31,Ampang Intake,11/5/2022,,,,,,,,1.46,,,,,,,,10.14,,1.43,,,,,,,,,,7.17,,,,,,0.34,,,,,,,,,1.72,,,,,,,,12.03,,1.86,,,,,,,,,,8.36,,,,,,0.42,,,,,,,,,0.93,,,,,,,,7.54,,0.56,,,,,,,,,,6.03,,,,,,0.2,
32,Ampang Intake,11/6/2022,,,,,,,,1.25,,,,,,,,6.32,,1.4,,,,,,,,,,4.69,,,,,,0.27,,,,,,,,,1.36,,,,,,,,6.7,,1.74,,,,,,,,,,5.28,,,,,,0.34,,,,,,,,,1.06,,,,,,,,5.55,,0.72,,,,,,,,,,4.5,,,,,,0.11,
33,Ampang Intake,11/7/2022,,,,,,,,1.07,,,,,,,,5.2,,1.27,,,,,,,,,,3.77,,,,,,0.21,,,,,,,,,1.31,,,,,,,,5.62,,1.45,,,,,,,,,,4.56,,,,,,0.26,,,,,,,,,0.47,,,,,,,,4.85,,0.85,,,,,,,,,,3.44,,,,,,0.1,
34,Ampang Intake,11/8/2022,,,,,,,,1.25,,,,,,,,5.53,,1.56,,,,,,,,,,4,,,,,,0.26,,,,,,,,,1.39,,,,,,,,5.95,,1.85,,,,,,,,,,4.82,,,,,,0.32,,,,,,,,,0.94,,,,,,,,4.62,,0.71,,,,,,,,,,3.81,,,,,,0.11,
35,Ampang Intake,11/9/2022,,,,,,,,1.4,,,,,,,,7.37,,1.53,,,,,,,,,,5.11,,,,,,0.28,,,,,,,,,1.73,,,,,,,,11.45,,1.98,,,,,,,,,,8.4,,,,,,0.37,,,,,,,,,1,,,,,,,,4.68,,0.67,,,,,,,,,,3.63,,,,,,0.11,
36,Ampang Intake,12/1/2022,,,,,,,,1.54,,,,,,,,8.54,,1.76,,,,,,,,,,6.96,,,,,,0.33,,,,,,,,,2.38,,,,,,,,12.17,,3.02,,,,,,,,,,9.32,,,,,,0.53,,,,,,,,,1.14,,,,,,,,7.35,,0.94,,,,,,,,,,6.49,,,,,,0.15,
37,Ampang Intake,12/10/2022,,,,,,,,1.18,,,,,,,,6.77,,1.62,,,,,,,,,,4.49,,,,,,0.28,,,,,,,,,1.4,,,,,,,,11.74,,2.2,,,,,,,,,,6.77,,,,,,0.39,,,,,,,,,1.02,,,,,,,,4.78,,0.69,,,,,,,,,,3.72,,,,,,0.11,
38,Ampang Intake,12/11/2022,,,,,,,,1.1,,,,,,,,4.51,,1.18,,,,,,,,,,3.65,,,,,,0.21,,,,,,,,,1.24,,,,,,,,5.29,,1.48,,,,,,,,,,3.81,,,,,,0.25,,,,,,,,,0.94,,,,,,,,4.24,,0.63,,,,,,,,,,3.42,,,,,,0.1,
39,Ampang Intake,12/12/2022,,,,,,,,1.04,,,,,,,,5.44,,1.31,,,,,,,,,,3.97,,,,,,0.24,,,,,,,,,1.34,,,,,,,,5.95,,1.53,,,,,,,,,,4.13,,,,,,0.3,,,,,,,,,0.53,,,,,,,,4.66,,0.95,,,,,,,,,,3.81,,,,,,0.11,
40,Ampang Intake,12/2/2022,,,,,,,,1.67,,,,,,,,14.02,,2.03,,,,,,,,,,11.15,,,,,,0.4,,,,,,,,,1.99,,,,,,,,23.55,,3.13,,,,,,,,,,18.08,,,,,,0.56,,,,,,,,,1.33,,,,,,,,7.31,,0.88,,,,,,,,,,6.44,,,,,,0.21,
41,Ampang Intake,12/3/2022,,,,,,,,1.34,,,,,,,,7.91,,1.65,,,,,,,,,,5.62,,,,,,0.27,,,,,,,,,1.66,,,,,,,,10.24,,2.22,,,,,,,,,,6.44,,,,,,0.37,,,,,,,,,1.12,,,,,,,,5.86,,0.76,,,,,,,,,,5.22,,,,,,0.12,
42,Ampang Intake,12/4/2022,,,,,,,,1.4,,,,,,,,7.66,,1.37,,,,,,,,,,5.51,,,,,,0.29,,,,,,,,,2.36,,,,,,,,8.64,,2.42,,,,,,,,,,6.08,,,,,,0.6,,,,,,,,,1.12,,,,,,,,5.45,,0.84,,,,,,,,,,4.42,,,,,,0.13,
43,Ampang Intake,12/5/2022,,,,,,,,1.37,,,,,,,,10.56,,1.59,,,,,,,,,,7.42,,,,,,0.33,,,,,,,,,1.88,,,,,,,,16.52,,2.51,,,,,,,,,,10.92,,,,,,0.44,,,,,,,,,0.62,,,,,,,,6.33,,0.55,,,,,,,,,,5.13,,,,,,0.19,
44,Ampang Intake,12/6/2022,,,,,,,,1.17,,,,,,,,5.07,,1.33,,,,,,,,,,3.9,,,,,,0.28,,,,,,,,,1.32,,,,,,,,6.42,,1.67,,,,,,,,,,4.5,,,,,,0.37,,,,,,,,,0.95,,,,,,,,4.87,,0.71,,,,,,,,,,3.78,,,,,,0.11,
45,Ampang Intake,12/7/2022,,,,,,,,1.91,,,,,,,,9.32,,2.03,,,,,,,,,,6.03,,,,,,0.33,,,,,,,,,5.65,,,,,,,,15.4,,6.35,,,,,,,,,,8.44,,,,,,0.92,,,,,,,,,0.95,,,,,,,,4.95,,0.92,,,,,,,,,,3.44,,,,,,0.15,
46,Ampang Intake,12/8/2022,,,,,,,,1.81,,,,,,,,6.7,,2,,,,,,,,,,5.3,,,,,,0.41,,,,,,,,,6.44,,,,,,,,10.6,,7.23,,,,,,,,,,8.33,,,,,,1.26,,,,,,,,,1.07,,,,,,,,4.71,,0.8,,,,,,,,,,3.79,,,,,,0.25,
47,Ampang Intake,12/9/2022,,,,,,,,1.07,,,,,,,,5.27,,1.38,,,,,,,,,,3.66,,,,,,0.24,,,,,,,,,1.23,,,,,,,,5.64,,1.7,,,,,,,,,,3.92,,,,,,0.3,,,,,,,,,0.96,,,,,,,,5.03,,0.66,,,,,,,,,,3.5,,,,,,0.11,
48,Ampang Intake,13/1/2022,,,,,,,,1.71,,,,,,,,9.71,,2.01,,,,,,,,,,8.51,,,,,,0.4,,,,,,,,,1.89,,,,,,,,13.01,,2.55,,,,,,,,,,11.46,,,,,,0.52,,,,,,,,,1.35,,,,,,,,7.5,,1.22,,,,,,,,,,6.6,,,,,,0.19,
49,Ampang Intake,13/10/2022,,,,,,,,1.2,,,,,,,,4.43,,1.31,,,,,,,,,,3.66,,,,,,0.24,,,,,,,,,1.29,,,,,,,,4.56,,1.6,,,,,,,,,,3.76,,,,,,0.29,,,,,,,,,0.97,,,,,,,,4.27,,0.65,,,,,,,,,,3.52,,,,,,0.1,
50,Ampang Intake,13/11/2022,,,,,,,,1.12,,,,,,,,4.66,,1.18,,,,,,,,,,3.74,,,,,,0.22,,,,,,,,,1.32,,,,,,,,5.03,,1.45,,,,,,,,,,3.9,,,,,,0.3,,,,,,,,,0.98,,,,,,,,4.33,,0.66,,,,,,,,,,3.55,,,,,,0.11,
51,Ampang Intake,13/12/2022,,,,,,,,1.18,,,,,,,,4.62,,1.24,,,,,,,,,,3.81,,,,,,0.24,,,,,,,,,1.31,,,,,,,,5.07,,1.53,,,,,,,,,,4.18,,,,,,0.29,,,,,,,,,1.05,,,,,,,,4.37,,0.73,,,,,,,,,,3.6,,,,,,0.12,
52,Ampang Intake,13/2/2022,,,,,,,,2.17,,,,,,,,14.15,,2.47,,,,,,,,,,9.42,,,,,,0.46,,,,,,,,,2.44,,,,,,,,18.19,,3.08,,,,,,,,,,10.6,,,,,,0.55,,,,,,,,,1.49,,,,,,,,11.51,,1.34,,,,,,,,,,8.14,,,,,,0.24,
53,Ampang Intake,13/3/2022,,,,,,,,1.43,,,,,,,,8.04,,1.65,,,,,,,,,,6.34,,,,,,0.29,,,,,,,,,1.7,,,,,,,,9.37,,2.6,,,,,,,,,,9.02,,,,,,0.38,,,,,,,,,1.07,,,,,,,,6.61,,0.85,,,,,,,,,,5.74,,,,,,0.14,
54,Ampang Intake,13/4/2022,,,,,,,,1.38,,,,,,,,13.35,,1.46,,,,,,,,,,8.93,,,,,,0.31,,,,,,,,,1.62,,,,,,,,18.66,,1.82,,,,,,,,,,14.33,,,,,,0.4,,,,,,,,,0.91,,,,,,,,8.26,,0.89,,,,,,,,,,5.09,,,,,,0.14,
55,Ampang Intake,13/5/2022,,,,,,,,1.5,,,,,,,,10.91,,1.49,,,,,,,,,,6.97,,,,,,0.3,,,,,,,,,1.63,,,,,,,,19.71,,1.76,,,,,,,,,,11.41,,,,,,0.36,,,,,,,,,1.22,,,,,,,,8.39,,0.82,,,,,,,,,,5.23,,,,,,0.13,
56,Ampang Intake,13/6/2022,,,,,,,,1.32,,,,,,,,5.21,,1.35,,,,,,,,,,4.11,,,,,,0.29,,,,,,,,,1.68,,,,,,,,5.92,,1.58,,,,,,,,,,4.88,,,,,,0.37,,,,,,,,,1.06,,,,,,,,4.83,,0.84,,,,,,,,,,3.8,,,,,,0.13,
57,Ampang Intake,13/7/2022,,,,,,,,1.22,,,,,,,,5.56,,1.33,,,,,,,,,,4.44,,,,,,0.22,,,,,,,,,1.32,,,,,,,,7.27,,1.64,,,,,,,,,,5.12,,,,,,0.25,,,,,,,,,1,,,,,,,,5.24,,0.68,,,,,,,,,,4.25,,,,,,0.11,
58,Ampang Intake,13/8/2022,,,,,,,,1.31,,,,,,,,5.51,,1.33,,,,,,,,,,4.52,,,,,,0.28,,,,,,,,,1.39,,,,,,,,7.39,,1.5,,,,,,,,,,5.91,,,,,,0.35,,,,,,,,,1.21,,,,,,,,4.62,,0.82,,,,,,,,,,3.81,,,,,,0.2,
59,Ampang Intake,13/9/2022,,,,,,,,1.2,,,,,,,,4.5,,1.21,,,,,,,,,,3.6,,,,,,0.24,,,,,,,,,1.31,,,,,,,,5.94,,1.41,,,,,,,,,,3.8,,,,,,0.29,,,,,,,,,0.93,,,,,,,,4.11,,0.63,,,,,,,,,,3.39,,,,,,0.1,
60,Ampang Intake,14/1/2022,,,,,,,,1.46,,,,,,,,8.24,,1.93,,,,,,,,,,7.52,,,,,,0.34,,,,,,,,,1.68,,,,,,,,10.66,,2.51,,,,,,,,,,9.39,,,,,,0.45,,,,,,,,,1.18,,,,,,,,6.17,,1.09,,,,,,,,,,5.72,,,,,,0.17,
61,Ampang Intake,14/10/2022,,,,,,,,1.19,,,,,,,,4.42,,1.21,,,,,,,,,,3.65,,,,,,0.26,,,,,,,,,1.29,,,,,,,,4.54,,1.62,,,,,,,,,,3.75,,,,,,0.32,,,,,,,,,0.97,,,,,,,,4.29,,0.66,,,,,,,,,,3.54,,,,,,0.1,
62,Ampang Intake,14/11/2022,,,,,,,,1.34,,,,,,,,6.89,,1.37,,,,,,,,,,5.17,,,,,,0.28,,,,,,,,,1.5,,,,,,,,11.56,,1.68,,,,,,,,,,8.14,,,,,,0.34,,,,,,,,,1.25,,,,,,,,4.48,,0.99,,,,,,,,,,3.69,,,,,,0.18,
63,Ampang Intake,14/12/2022,,,,,,,,1.21,,,,,,,,4.66,,1.22,,,,,,,,,,3.84,,,,,,0.25,,,,,,,,,1.35,,,,,,,,5,,1.46,,,,,,,,,,4.13,,,,,,0.32,,,,,,,,,1.1,,,,,,,,4.45,,0.74,,,,,,,,,,3.67,,,,,,0.12,
