,wtp,Date,Activated Carbon _avg,Aluminium Chlorohydrate _avg,Flopam AH 912 PWG _avg,Flopam FA 920 PWG _avg,Flopam FL 4520 PWG _avg,Flopam FO 4190 PWG _avg,Flopam FO 4290 PWG _avg,Hydrated Lime _avg,Hydrated Lime (Intermediate) _avg,Hydrated Lime (Post) _avg,Hydrated Lime (Powder) _avg,Hydrated Lime (Powder) (Intermediate) _avg,Hydrated Lime (Powder) (Post) _avg,Hydrated Lime (Powder) (Pre) _avg,Hydrated Lime (Pre) _avg,Kibbled Aluminium Sulphate _avg,Liquid Aluminium Sulphate _avg,Liquid Chlorine _avg,Liquid Chlorine (Intermediate) _avg,Liquid Chlorine (Post) _avg,Liquid Chlorine (Pre) _avg,Liquid Polyaluminium Chloride _avg,Microsand _avg,Modified Liquid Alum _avg,Polymer Tianfloc C3080 _avg,Potassium Permanganate _avg,Soda Ash _avg,Soda Ash (Post) _avg,Soda Ash (Pre) _avg,Sodium Aluminosilicate _avg,Sodium Fluoride _avg,Sodium Hypochlorite _avg,Sodium Silico Fluoride _avg,Superfloc C 591 PWG _avg,Activated Carbon _max,Aluminium Chlorohydrate _max,Flopam AH 912 PWG _max,Flopam FA 920 PWG _max,Flopam FL 4520 PWG _max,Flopam FO 4190 PWG _max,Flopam FO 4290 PWG _max,Hydrated Lime _max,Hydrated Lime (Intermediate) _max,Hydrated Lime (Post) _max,Hydrated Lime (Powder) _max,Hydrated Lime (Powder) (Intermediate) _max,Hydrated Lime (Powder) (Post) _max,Hydrated Lime (Powder) (Pre) _max,Hydrated Lime (Pre) _max,Kibbled Aluminium Sulphate _max,Liquid Aluminium Sulphate _max,Liquid Chlorine _max,Liquid Chlorine (Intermediate) _max,Liquid Chlorine (Post) _max,Liquid Chlorine (Pre) _max,Liquid Polyaluminium Chloride _max,Microsand _max,Modified Liquid Alum _max,Polymer Tianfloc C3080 _max,Potassium Permanganate _max,Soda Ash _max,Soda Ash (Post) _max,Soda Ash (Pre) _max,Sodium Aluminosilicate _max,Sodium Fluoride _max,Sodium Hypochlorite _max,Sodium Silico Fluoride _max,Superfloc C 591 PWG _max,Activated Carbon _min,Aluminium Chlorohydrate _min,Flopam AH 912 PWG _min,Flopam FA 920 PWG _min,Flopam FL 4520 PWG _min,Flopam FO 4190 PWG _min,Flopam FO 4290 PWG _min,Hydrated Lime _min,Hydrated Lime (Intermediate) _min,Hydrated Lime (Post) _min,Hydrated Lime (Powder) _min,Hydrated Lime (Powder) (Intermediate) _min,Hydrated Lime (Powder) (Post) _min,Hydrated Lime (Powder) (Pre) _min,Hydrated Lime (Pre) _min,Kibbled Aluminium Sulphate _min,Liquid Aluminium Sulphate _min,Liquid Chlorine _min,Liquid Chlorine (Intermediate) _min,Liquid Chlorine (Post) _min,Liquid Chlorine (Pre) _min,Liquid Polyaluminium Chloride _min,Microsand _min,Modified Liquid Alum _min,Polymer Tianfloc C3080 _min,Potassium Permanganate _min,Soda Ash _min,Soda Ash (Post) _min,Soda Ash (Pre) _min,Sodium Aluminosilicate _min,Sodium Fluoride _min,Sodium Hypochlorite _min,Sodium Silico Fluoride _min,Superfloc C 591 PWG _min
10,Ampang Intake,1/8/2021,,,,,,,,1.99,,,,,,,,12.47,,1.75,,,,,,,,,9.72,,,,,,0.31,,,,,,,,,3.1,,,,,,,,19.71,,2.41,,,,,,,,,13.6,,,,,,0.45,,,,,,,,,1.24,,,,,,,,7.66,,0.89,,,,,,,,,6.02,,,,,,0.16,
11,Ampang Intake,1/9/2021,,,,,,,,1.95,,,,,,,,8.81,,1.76,,,,,,,,,7.68,,,,,,0.31,,,,,,,,,2.51,,,,,,,,13.83,,2.51,,,,,,,,,10.74,,,,,,0.42,,,,,,,,,1.23,,,,,,,,7.64,,0.66,,,,,,,,,6.0,,,,,,0.16,
12,Ampang Intake,10/1/2021,,,,,,,,0.0,,,,,,,,11.02,,1.21,,,,,,,,,7.97,,,,,,0.24,,,,,,,,,0.0,,,,,,,,16.7,,2.0,,,,,,,,,11.5,,,,,,0.4,,,,,,,,,0.0,,,,,,,,6.91,,0.5,,,,,,,,,5.39,,,,,,0.06,
13,Ampang Intake,10/10/2021,,,,,,,,1.32,,,,,,,,7.43,,1.43,,,,,,,,,6.54,,,,,,0.2,,,,,,,,,1.64,,,,,,,,7.97,,1.98,,,,,,,,,7.02,,,,,,0.36,,,,,,,,,0.8,,,,,,,,7.17,,0.72,,,,,,,,,6.31,,,,,,0.07,
14,Ampang Intake,10/11/2021,,,,,,,,1.86,,,,,,,,21.04,,1.47,,,,,,,,,15.61,,,,,,3.55,,,,,,,,,2.32,,,,,,,,82.86,,2.1,,,,,,,,,60.79,,,,,,39.0,,,,,,,,,1.25,,,,,,,,9.37,,0.56,,,,,,,,,6.65,,,,,,0.09,
15,Ampang Intake,10/12/2021,,,,,,,,2.92,,,,,,,,20.8,,2.52,,,,,,,,,17.09,,,,,,0.51,,,,,,,,,3.63,,,,,,,,36.08,,4.83,,,,,,,,,27.1,,,,,,0.75,,,,,,,,,2.06,,,,,,,,12.61,,1.25,,,,,,,,,11.35,,,,,,0.19,
16,Ampang Intake,10/2/2021,,,,,,,,0.0,,,,,,,,9.07,,1.18,,,,,,,,,6.9,,,,,,0.19,,,,,,,,,0.0,,,,,,,,12.5,,2.4,,,,,,,,,9.62,,,,,,0.41,,,,,,,,,0.0,,,,,,,,6.28,,0.5,,,,,,,,,4.49,,,,,,0.07,
17,Ampang Intake,10/3/2021,,,,,,,,2.9,,,,,,,,9.96,,1.82,,,,,,,,,7.82,,,,,,0.24,,,,,,,,,3.18,,,,,,,,14.0,,2.6,,,,,,,,,8.86,,,,,,0.45,,,,,,,,,1.88,,,,,,,,5.29,,0.6,,,,,,,,,4.99,,,,,,0.07,
18,Ampang Intake,10/4/2021,,,,,,,,2.15,,,,,,,,11.23,,1.83,,,,,,,,,9.51,,,,,,0.3,,,,,,,,,3.1,,,,,,,,15.6,,2.5,,,,,,,,,13.7,,,,,,0.41,,,,,,,,,0.8,,,,,,,,7.25,,0.8,,,,,,,,,6.3,,,,,,0.09,
19,Ampang Intake,10/5/2021,,,,,,,,3.25,,,,,,,,24.11,,2.33,,,,,,,,,19.62,,,,,,0.53,,,,,,,,,6.01,,,,,,,,99.7,,3.9,,,,,,,,,76.5,,,,,,1.23,,,,,,,,,1.3,,,,,,,,8.6,,1.4,,,,,,,,,6.53,,,,,,0.25,
20,Ampang Intake,10/6/2021,,,,,,,,2.36,,,,,,,,10.58,,1.8,,,,,,,,,7.97,,,,,,0.32,,,,,,,,,3.1,,,,,,,,17.5,,2.55,,,,,,,,,13.79,,,,,,0.44,,,,,,,,,1.16,,,,,,,,7.18,,0.62,,,,,,,,,5.64,,,,,,0.15,
21,Ampang Intake,10/7/2021,,,,,,,,3.05,,,,,,,,20.95,,2.61,,,,,,,,,15.66,,,,,,0.43,,,,,,,,,7.13,,,,,,,,61.6,,5.25,,,,,,,,,39.9,,,,,,0.94,,,,,,,,,1.28,,,,,,,,7.09,,0.92,,,,,,,,,6.87,,,,,,0.16,
22,Ampang Intake,10/8/2021,,,,,,,,2.35,,,,,,,,14.21,,1.92,,,,,,,,,11.22,,,,,,0.32,,,,,,,,,2.71,,,,,,,,18.29,,2.64,,,,,,,,,13.83,,,,,,0.42,,,,,,,,,1.93,,,,,,,,9.89,,0.53,,,,,,,,,8.16,,,,,,0.13,
23,Ampang Intake,10/9/2021,,,,,,,,1.98,,,,,,,,12.37,,2.04,,,,,,,,,8.01,,,,,,0.31,,,,,,,,,2.23,,,,,,,,15.52,,2.53,,,,,,,,,10.2,,,,,,0.38,,,,,,,,,1.5,,,,,,,,10.21,,1.11,,,,,,,,,7.27,,,,,,0.13,
24,Ampang Intake,11/1/2021,,,,,,,,0.0,,,,,,,,14.64,,1.88,,,,,,,,,82.79,,,,,,0.31,,,,,,,,,0.0,,,,,,,,18.7,,2.5,,,,,,,,,892.0,,,,,,0.43,,,,,,,,,0.0,,,,,,,,7.98,,0.8,,,,,,,,,8.24,,,,,,0.1,
25,Ampang Intake,11/10/2021,,,,,,,,1.37,,,,,,,,7.3,,1.47,,,,,,,,,6.42,,,,,,0.24,,,,,,,,,1.64,,,,,,,,7.54,,1.82,,,,,,,,,6.64,,,,,,0.33,,,,,,,,,0.78,,,,,,,,6.8,,0.47,,,,,,,,,5.98,,,,,,0.07,
26,Ampang Intake,11/11/2021,,,,,,,,1.42,,,,,,,,11.67,,1.17,,,,,,,,,7.47,,,,,,0.2,,,,,,,,,1.77,,,,,,,,16.34,,1.79,,,,,,,,,9.17,,,,,,0.28,,,,,,,,,1.03,,,,,,,,8.0,,0.46,,,,,,,,,6.29,,,,,,0.07,
27,Ampang Intake,11/12/2021,,,,,,,,1.89,,,,,,,,15.69,,2.51,,,,,,,,,11.31,,,,,,0.44,,,,,,,,,2.63,,,,,,,,19.41,,3.96,,,,,,,,,14.48,,,,,,0.7,,,,,,,,,1.35,,,,,,,,11.34,,0.81,,,,,,,,,8.02,,,,,,0.12,
28,Ampang Intake,11/2/2021,,,,,,,,0.0,,,,,,,,10.48,,1.65,,,,,,,,,9.1,,,,,,0.24,,,,,,,,,0.0,,,,,,,,14.0,,2.3,,,,,,,,,12.5,,,,,,0.35,,,,,,,,,0.0,,,,,,,,7.39,,0.9,,,,,,,,,5.29,,,,,,0.1,
29,Ampang Intake,11/3/2021,,,,,,,,2.8,,,,,,,,11.96,,1.92,,,,,,,,,9.31,,,,,,0.3,,,,,,,,,2.86,,,,,,,,18.4,,2.3,,,,,,,,,9.51,,,,,,0.38,,,,,,,,,2.71,,,,,,,,7.65,,0.9,,,,,,,,,9.02,,,,,,0.1,
30,Ampang Intake,11/4/2021,,,,,,,,2.72,,,,,,,,20.46,,2.1,,,,,,,,,16.45,,,,,,0.37,,,,,,,,,4.56,,,,,,,,42.2,,3.7,,,,,,,,,33.2,,,,,,0.65,,,,,,,,,2.0,,,,,,,,8.87,,1.0,,,,,,,,,6.65,,,,,,0.2,
31,Ampang Intake,11/5/2021,,,,,,,,2.8,,,,,,,,14.33,,1.82,,,,,,,,,10.01,,,,,,0.39,,,,,,,,,3.8,,,,,,,,17.8,,2.4,,,,,,,,,11.7,,,,,,0.52,,,,,,,,,1.32,,,,,,,,12.5,,0.9,,,,,,,,,9.42,,,,,,0.17,
32,Ampang Intake,11/6/2021,,,,,,,,2.51,,,,,,,,9.95,,1.81,,,,,,,,,7.56,,,,,,0.34,,,,,,,,,3.07,,,,,,,,15.2,,2.53,,,,,,,,,10.21,,,,,,0.44,,,,,,,,,1.19,,,,,,,,7.35,,0.64,,,,,,,,,5.77,,,,,,0.15,
33,Ampang Intake,11/7/2021,,,,,,,,2.5,,,,,,,,11.98,,1.78,,,,,,,,,10.21,,,,,,0.29,,,,,,,,,3.07,,,,,,,,16.0,,2.46,,,,,,,,,14.1,,,,,,0.37,,,,,,,,,1.25,,,,,,,,6.9,,0.49,,,,,,,,,6.07,,,,,,0.08,
34,Ampang Intake,11/8/2021,,,,,,,,2.67,,,,,,,,16.81,,2.05,,,,,,,,,13.44,,,,,,0.39,,,,,,,,,3.69,,,,,,,,36.86,,2.95,,,,,,,,,25.45,,,,,,0.59,,,,,,,,,1.81,,,,,,,,7.98,,0.55,,,,,,,,,7.52,,,,,,0.09,
35,Ampang Intake,11/9/2021,,,,,,,,1.7,,,,,,,,8.93,,1.53,,,,,,,,,7.11,,,,,,0.28,,,,,,,,,1.92,,,,,,,,9.93,,2.12,,,,,,,,,7.81,,,,,,0.36,,,,,,,,,1.29,,,,,,,,8.0,,0.57,,,,,,,,,6.29,,,,,,0.13,
36,Ampang Intake,12/1/2021,,,,,,,,0.0,,,,,,,,11.56,,1.75,,,,,,,,,8.09,,,,,,0.29,,,,,,,,,0.0,,,,,,,,15.0,,2.3,,,,,,,,,9.43,,,,,,0.4,,,,,,,,,0.0,,,,,,,,6.22,,0.4,,,,,,,,,4.77,,,,,,0.05,
37,Ampang Intake,12/10/2021,,,,,,,,1.47,,,,,,,,7.3,,1.49,,,,,,,,,6.43,,,,,,0.26,,,,,,,,,1.63,,,,,,,,7.5,,1.71,,,,,,,,,6.6,,,,,,0.3,,,,,,,,,1.04,,,,,,,,7.14,,0.71,,,,,,,,,6.28,,,,,,0.07,
38,Ampang Intake,12/11/2021,,,,,,,,1.28,,,,,,,,7.43,,1.4,,,,,,,,,6.54,,,,,,0.25,,,,,,,,,1.38,,,,,,,,8.39,,1.91,,,,,,,,,6.7,,,,,,0.3,,,,,,,,,1.03,,,,,,,,6.74,,0.7,,,,,,,,,6.31,,,,,,0.07,
39,Ampang Intake,12/12/2021,,,,,,,,2.19,,,,,,,,14.76,,2.66,,,,,,,,,11.57,,,,,,0.45,,,,,,,,,2.75,,,,,,,,16.97,,3.46,,,,,,,,,13.33,,,,,,0.61,,,,,,,,,1.87,,,,,,,,11.96,,1.33,,,,,,,,,10.21,,,,,,0.21,
40,Ampang Intake,12/2/2021,,,,,,,,0.0,,,,,,,,11.84,,1.54,,,,,,,,,9.82,,,,,,0.24,,,,,,,,,0.0,,,,,,,,16.0,,2.2,,,,,,,,,14.7,,,,,,0.6,,,,,,,,,0.0,,,,,,,,8.15,,0.9,,,,,,,,,5.66,,,,,,0.1,
41,Ampang Intake,12/3/2021,,,,,,,,2.79,,,,,,,,8.68,,1.9,,,,,,,,,8.02,,,,,,0.3,,,,,,,,,2.9,,,,,,,,9.74,,2.3,,,,,,,,,8.38,,,,,,0.38,,,,,,,,,2.68,,,,,,,,7.97,,0.9,,,,,,,,,7.68,,,,,,0.1,
42,Ampang Intake,12/4/2021,,,,,,,,2.36,,,,,,,,13.2,,1.69,,,,,,,,,9.73,,,,,,0.29,,,,,,,,,3.4,,,,,,,,16.7,,2.4,,,,,,,,,13.8,,,,,,0.42,,,,,,,,,1.36,,,,,,,,7.0,,0.9,,,,,,,,,5.73,,,,,,0.17,
43,Ampang Intake,12/5/2021,,,,,,,,5.27,,,,,,,,21.24,,1.9,,,,,,,,,15.78,,,,,,0.38,,,,,,,,,33.9,,,,,,,,46.7,,2.5,,,,,,,,,30.8,,,,,,0.54,,,,,,,,,1.34,,,,,,,,11.3,,1.0,,,,,,,,,7.87,,,,,,0.18,
44,Ampang Intake,12/6/2021,,,,,,,,3.16,,,,,,,,18.25,,2.38,,,,,,,,,12.28,,,,,,0.39,,,,,,,,,5.17,,,,,,,,57.6,,3.83,,,,,,,,,34.7,,,,,,0.63,,,,,,,,,1.75,,,,,,,,7.31,,0.94,,,,,,,,,5.74,,,,,,0.22,
45,Ampang Intake,12/7/2021,,,,,,,,2.54,,,,,,,,9.61,,1.63,,,,,,,,,8.34,,,,,,0.3,,,,,,,,,2.95,,,,,,,,11.7,,2.19,,,,,,,,,10.2,,,,,,0.36,,,,,,,,,1.46,,,,,,,,7.97,,0.53,,,,,,,,,7.16,,,,,,0.13,
46,Ampang Intake,12/8/2021,,,,,,,,2.2,,,,,,,,9.74,,1.63,,,,,,,,,8.63,,,,,,0.31,,,,,,,,,2.51,,,,,,,,10.72,,2.27,,,,,,,,,9.71,,,,,,0.44,,,,,,,,,1.8,,,,,,,,7.97,,0.57,,,,,,,,,6.83,,,,,,0.13,
47,Ampang Intake,12/9/2021,,,,,,,,1.54,,,,,,,,7.34,,1.37,,,,,,,,,6.15,,,,,,0.23,,,,,,,,,1.91,,,,,,,,8.35,,2.09,,,,,,,,,6.75,,,,,,0.36,,,,,,,,,1.15,,,,,,,,6.25,,0.41,,,,,,,,,5.64,,,,,,0.06,
48,Ampang Intake,13/1/2021,,,,,,,,0.0,,,,,,,,9.07,,1.69,,,,,,,,,8.27,,,,,,0.26,,,,,,,,,0.0,,,,,,,,10.4,,2.3,,,,,,,,,9.15,,,,,,0.39,,,,,,,,,0.0,,,,,,,,5.9,,0.6,,,,,,,,,5.12,,,,,,0.07,
49,Ampang Intake,13/10/2021,,,,,,,,1.81,,,,,,,,7.13,,1.57,,,,,,,,,6.28,,,,,,0.31,,,,,,,,,1.92,,,,,,,,7.63,,1.65,,,,,,,,,6.71,,,,,,0.35,,,,,,,,,1.65,,,,,,,,6.52,,1.45,,,,,,,,,5.74,,,,,,0.21,
50,Ampang Intake,13/11/2021,,,,,,,,1.27,,,,,,,,8.12,,1.48,,,,,,,,,6.38,,,,,,0.24,,,,,,,,,1.63,,,,,,,,8.45,,1.96,,,,,,,,,6.64,,,,,,0.3,,,,,,,,,1.0,,,,,,,,7.76,,0.67,,,,,,,,,6.1,,,,,,0.07,
51,Ampang Intake,13/12/2021,,,,,,,,1.74,,,,,,,,11.53,,1.76,,,,,,,,,10.42,,,,,,0.4,,,,,,,,,2.05,,,,,,,,12.55,,2.77,,,,,,,,,11.3,,,,,,0.49,,,,,,,,,1.4,,,,,,,,8.97,,1.11,,,,,,,,,8.32,,,,,,0.17,
52,Ampang Intake,13/2/2021,,,,,,,,0.0,,,,,,,,11.16,,1.9,,,,,,,,,9.24,,,,,,0.32,,,,,,,,,0.0,,,,,,,,12.5,,2.3,,,,,,,,,9.64,,,,,,0.41,,,,,,,,,0.0,,,,,,,,9.73,,0.9,,,,,,,,,8.19,,,,,,0.11,
53,Ampang Intake,13/3/2021,,,,,,,,3.1,,,,,,,,16.3,,2.12,,,,,,,,,11.53,,,,,,0.36,,,,,,,,,3.76,,,,,,,,25.6,,3.0,,,,,,,,,18.2,,,,,,0.53,,,,,,,,,2.87,,,,,,,,10.1,,0.9,,,,,,,,,7.65,,,,,,0.16,
54,Ampang Intake,13/4/2021,,,,,,,,2.67,,,,,,,,13.59,,1.96,,,,,,,,,10.3,,,,,,0.33,,,,,,,,,3.38,,,,,,,,17.3,,2.5,,,,,,,,,11.2,,,,,,0.48,,,,,,,,,1.46,,,,,,,,9.15,,1.0,,,,,,,,,9.44,,,,,,0.18,
55,Ampang Intake,13/5/2021,,,,,,,,2.2,,,,,,,,21.59,,2.16,,,,,,,,,15.48,,,,,,0.34,,,,,,,,,3.36,,,,,,,,32.8,,3.6,,,,,,,,,25.2,,,,,,0.45,,,,,,,,,1.23,,,,,,,,12.6,,0.8,,,,,,,,,9.47,,,,,,0.15,
56,Ampang Intake,13/6/2021,,,,,,,,2.36,,,,,,,,12.29,,1.76,,,,,,,,,8.83,,,,,,0.3,,,,,,,,,3.1,,,,,,,,16.9,,2.42,,,,,,,,,10.4,,,,,,0.38,,,,,,,,,1.08,,,,,,,,7.39,,0.62,,,,,,,,,6.82,,,,,,0.14,
57,Ampang Intake,13/7/2021,,,,,,,,2.47,,,,,,,,8.93,,1.79,,,,,,,,,7.87,,,,,,0.32,,,,,,,,,3.32,,,,,,,,10.4,,2.46,,,,,,,,,10.3,,,,,,0.4,,,,,,,,,1.33,,,,,,,,7.86,,0.76,,,,,,,,,6.48,,,,,,0.12,
58,Ampang Intake,13/8/2021,,,,,,,,2.1,,,,,,,,10.22,,1.84,,,,,,,,,7.78,,,,,,0.33,,,,,,,,,2.35,,,,,,,,12.68,,2.31,,,,,,,,,8.3,,,,,,0.41,,,,,,,,,1.33,,,,,,,,8.23,,0.86,,,,,,,,,6.49,,,,,,0.14,
59,Ampang Intake,13/9/2021,,,,,,,,2.0,,,,,,,,15.6,,1.93,,,,,,,,,12.61,,,,,,0.31,,,,,,,,,3.16,,,,,,,,24.63,,3.41,,,,,,,,,19.36,,,,,,0.49,,,,,,,,,1.16,,,,,,,,8.71,,0.56,,,,,,,,,5.64,,,,,,0.08,
60,Ampang Intake,14/1/2021,,,,,,,,0.0,,,,,,,,9.77,,1.89,,,,,,,,,9.0,,,,,,0.31,,,,,,,,,0.0,,,,,,,,11.8,,2.5,,,,,,,,,10.1,,,,,,0.44,,,,,,,,,0.0,,,,,,,,6.1,,0.6,,,,,,,,,5.92,,,,,,0.08,
61,Ampang Intake,14/10/2021,,,,,,,,1.55,,,,,,,,7.46,,1.52,,,,,,,,,6.57,,,,,,0.28,,,,,,,,,1.91,,,,,,,,7.56,,1.72,,,,,,,,,6.66,,,,,,0.3,,,,,,,,,1.05,,,,,,,,7.32,,0.71,,,,,,,,,6.44,,,,,,0.2,
62,Ampang Intake,14/11/2021,,,,,,,,1.34,,,,,,,,7.23,,1.44,,,,,,,,,6.35,,,,,,0.21,,,,,,,,,1.47,,,,,,,,8.47,,1.89,,,,,,,,,7.16,,,,,,0.29,,,,,,,,,1.22,,,,,,,,6.3,,0.7,,,,,,,,,5.69,,,,,,0.11,
63,Ampang Intake,14/12/2021,,,,,,,,2.03,,,,,,,,12.61,,2.29,,,,,,,,,10.34,,,,,,0.41,,,,,,,,,2.95,,,,,,,,16.72,,3.21,,,,,,,,,14.43,,,,,,0.66,,,,,,,,,1.58,,,,,,,,9.57,,1.06,,,,,,,,,7.66,,,,,,0.17,
64,Ampang Intake,14/2/2021,,,,,,,,0.0,,,,,,,,17.69,,1.68,,,,,,,,,13.67,,,,,,0.29,,,,,,,,,0.0,,,,,,,,29.7,,2.3,,,,,,,,,19.8,,,,,,0.39,,,,,,,,,0.0,,,,,,,,7.69,,0.7,,,,,,,,,6.68,,,,,,0.11,
