,pH_avg_chpctm,Turbidity_avg_chpctm,Color_avg_chpctm,Iron_avg_chpctm,Ammonia_avg_chpctm,Manganese_avg_chpctm,Coagulant_chpctm,pH Adjuster_chpctm,Disinfectant_chpctm,Flouridation_chpctm,Date,wtp,pH_avg,Turbidity_avg,Color_avg,Iron_avg,Ammonia_avg,Manganese_avg,Disinfectant,Coagulant,Flouridation,pH Adjuster
78,4.203152364273208,-13.819013394315585,-16.349985561651735,12.643678160919539,0.0,-20.000000000000004,-16.49269311064718,-23.001799023387296,-6.306306306306306,11.538461538461526,2021-02-18,Sungai Tengi,5.95,13.19,72.42,0.98,0.17,0.04,3.12,8.0,0.58,14.98
79,5.253940455341503,-23.881084612871607,-19.283857926653187,17.241379310344833,-23.529411764705884,0.0,-16.49269311064718,-23.001799023387296,-6.306306306306306,11.538461538461526,2021-02-19,Sungai Tengi,6.01,11.65,69.88,1.02,0.13,0.05,3.12,8.0,0.58,14.98
80,6.479859894921193,-24.01176086246324,-27.427086341322543,17.241379310344833,-17.64705882352941,-40.00000000000001,-30.37578288100209,-34.258545361089695,0.30030030030029387,1.9230769230769247,2021-02-20,Sungai Tengi,6.08,11.63,62.83,1.02,0.14,0.03,3.34,6.67,0.53,12.79
81,7.005253940455347,-27.147990852662524,-50.42448743863701,-3.448275862068969,-23.529411764705884,100.0,-37.36951983298539,-37.239784117193516,-3.003003003003006,3.8461538461538494,2021-02-21,Sungai Tengi,6.11,11.15,42.92,0.84,0.13,0.1,3.23,6.0,0.54,12.21
82,7.005253940455347,-16.367200261352494,-40.80277216286456,9.19540229885057,-23.529411764705884,0.0,-37.36951983298539,-38.98740683628886,-8.108108108108109,-3.8461538461538494,2021-02-22,Sungai Tengi,6.11,12.8,51.25,0.95,0.13,0.05,3.06,6.0,0.5,11.870000000000001
83,7.005253940455347,-2.319503430251555,-25.74068726537682,14.942528735632186,-82.3529411764706,19.99999999999999,-37.36951983298539,-35.3893600616808,-5.105105105105103,0.0,2021-02-23,Sungai Tengi,6.11,14.95,64.29,1.0,0.03,0.06,3.16,6.0,0.52,12.57
84,7.355516637478107,-24.665142110421435,-51.394744441235915,0.0,-70.58823529411765,-40.00000000000001,-39.144050104384135,-34.00154202004625,-5.105105105105103,0.0,2021-02-24,Sungai Tengi,6.13,11.53,42.08,0.87,0.05,0.03,3.16,5.83,0.52,12.84
85,7.180385288966727,-9.833387781770657,-50.90961593993647,1.1494252873563229,-5.8823529411764754,-20.000000000000004,-37.36951983298539,-41.454638910305825,-4.204204204204208,0.0,2021-02-25,Sungai Tengi,6.12,13.8,42.5,0.88,0.16,0.04,3.19,6.0,0.52,11.39
86,7.5306479859894875,-16.49787651094414,-39.35893733756857,9.19540229885057,17.64705882352941,-60.0,-37.36951983298539,-46.13209971729631,-6.906906906906906,-3.8461538461538494,2021-02-26,Sungai Tengi,6.14,12.78,52.5,0.95,0.2,0.02,3.1,6.0,0.5,10.48
87,8.581436077057797,12.381574648807577,-33.387236500144375,26.436781609195414,-5.8823529411764754,-20.000000000000004,-20.876826722338205,-24.492418401439213,-3.603603603603607,5.7692307692307745,2021-02-27,Sungai Tengi,6.2,17.2,57.67,1.1,0.16,0.04,3.21,7.58,0.55,14.69
88,8.231173380035022,0.8167265599477296,-24.100490903840598,32.183908045977,11.764705882352935,-40.00000000000001,-16.49269311064718,-18.478540221022868,4.504504504504501,5.7692307692307745,2021-02-28,Sungai Tengi,6.18,15.43,65.71,1.15,0.19,0.03,3.48,8.0,0.55,15.86
