,pH_avg_chpctm,Turbidity_avg_chpctm,Color_avg_chpctm,Iron_avg_chpctm,Ammonia_avg_chpctm,Manganese_avg_chpctm,Disinfectant_chpctm,Flouridation_chpctm,Coagulant_chpctm,pH Adjuster_chpctm,Date,wtp,pH_avg,Turbidity_avg,Color_avg,Iron_avg,Ammonia_avg,Manganese_avg,Disinfectant,Coagulant,Flouridation,pH Adjuster
156,1.2413793103448256,60.24498886414255,-2.2164276401564527,18.89763779527559,0.0,48.148148148148145,-2.785515320334252,-9.999999999999998,10.44776119402985,10.0,2021-06-06,Langat 2,7.34,100.73,7.5,1.51,0.07,0.2,3.49,37.0,0.45,5.5
157,1.5172413793103492,-49.50684059815463,-23.859191655801826,-44.88188976377953,-42.85714285714286,-40.74074074074075,-7.242339832869075,-12.0,-1.4925373134328357,10.0,2021-06-07,Langat 2,7.36,31.74,5.84,0.7,0.04,0.08,3.33,33.0,0.44,5.5
158,1.655172413793105,-23.019408208717785,-20.59973924380704,-23.62204724409449,-28.571428571428577,3.703703703703707,-6.963788300835655,-14.000000000000002,-1.4925373134328357,10.0,2021-06-08,Langat 2,7.37,48.39,6.09,0.97,0.05,0.14,3.34,33.0,0.43,5.5
159,0.5517241379310349,-56.983773464842514,-32.59452411994785,-44.094488188976385,-28.571428571428577,-33.33333333333334,-9.192200557103067,-18.000000000000004,-1.4925373134328357,10.0,2021-06-09,Langat 2,7.29,27.04,5.17,0.71,0.05,0.09,3.26,33.0,0.41,5.5
160,0.8275862068965464,-50.222717149220486,-28.292046936114733,-21.25984251968504,0.0,-3.703703703703707,-7.520891364902507,-14.000000000000002,-4.985074626865677,10.0,2021-06-10,Langat 2,7.31,31.29,5.5,1.0,0.07,0.13,3.32,31.83,0.43,5.5
161,1.1034482758620698,-49.172764874323896,-48.89178617992177,-41.73228346456693,-28.571428571428577,-33.33333333333334,-11.420612813370466,-14.000000000000002,1.4925373134328357,10.0,2021-06-11,Langat 2,7.33,31.95,3.92,0.74,0.05,0.09,3.18,34.0,0.43,5.5
162,1.3793103448275814,-65.00159083678014,-30.378096479791395,-32.28346456692914,-71.42857142857143,-55.55555555555556,-10.02785515320334,-14.000000000000002,-7.462686567164178,10.0,2021-06-12,Langat 2,7.35,22.0,5.34,0.86,0.02,0.06,3.23,31.0,0.43,5.5
163,1.9310344827586163,-12.631244034362071,-25.03259452411995,-14.960629921259837,-42.85714285714286,-48.148148148148145,-5.292479108635096,-12.0,-5.223880597014925,10.0,2021-06-13,Langat 2,7.39,54.92,5.75,1.08,0.04,0.07,3.4,31.75,0.44,5.5
164,0.9655172413793143,64.98568246897868,20.59973924380704,-16.535433070866137,14.285714285714276,-3.703703703703707,-23.398328690807794,-12.0,20.8955223880597,10.0,2021-06-14,Langat 2,7.32,103.71,9.25,1.06,0.08,0.13,2.75,40.5,0.44,5.5
165,-0.41379310344827924,152.2589882278078,39.113428943937414,21.25984251968504,114.28571428571426,107.40740740740742,-5.292479108635096,-12.0,24.86567164179104,10.0,2021-06-15,Langat 2,7.22,158.57,10.67,1.54,0.15,0.28,3.4,41.83,0.44,5.5
166,-0.6896551724137907,356.88832325803367,88.00521512385919,253.54330708661416,85.7142857142857,203.70370370370367,-5.013927576601664,-14.000000000000002,37.3134328358209,10.0,2021-06-16,Langat 2,7.2,287.2,14.42,4.49,0.13,0.41,3.41,46.0,0.43,5.5
